tool,beta,p_value,rr_per_month,nb_beta,nb_se,nb_p_value,nb_rr_per_month,nb_alpha,nb_converged,nb_sig_0_05,nb_fit_error
sigstore/rekor,-0.0504979070786441,2.6252011540307025e-17,0.9507559185276108,-0.05064247833180204,0.00616122624569485,2.0427616302236923e-16,0.9506184764883452,0.004919685297970948,True,True,
sigstore/fulcio,-0.04787280499761599,4.136621423894332e-13,0.9532550286423215,-0.0476534158237639,0.0067761486205778765,2.028329735895687e-12,0.9534641854180529,0.014477717850685875,True,True,
sigstore/cosign,-0.038190176085614966,2.426492346221237e-40,0.9625298733206187,-0.037300169165899295,0.003767788743070162,4.173140896710682e-23,0.9633869128973114,0.05319420063771991,True,True,
notaryproject/notation,-0.032202232799071376,1.1956545258589276e-11,0.9683107380858916,-0.044621781760067404,0.011199619372412383,6.770125852033393e-05,0.9563591259039397,0.6355946313830982,True,True,
hashicorp/vault,-0.024993221017390956,2.9961784587362945e-37,0.9753165236596748,-0.027224914057747043,0.0032603597961260973,6.810188451291991e-17,0.9731423435153943,0.054209490366562925,True,True,
Keyfactor/ejbca-ce,-6.849316356496287e-05,0.9906616788815522,0.9999315091820382,-6.916849959561649e-05,0.0060770952044713455,0.9909188050357255,0.9999308338924899,0.023310420756520903,True,False,
Keyfactor/signserver-ce,0.012578967380253943,0.4084933349830048,1.0126584153654794,0.015086780409326955,0.02059516800087115,0.46383915479486626,1.0152011603654167,1.1425105231169046,True,False,
openpubkey/openpubkey,0.04038094964289441,3.3904060470130693e-07,1.0412073462173272,0.1041091551114015,0.041167183611552985,0.011440902618063157,1.1097215800874456,4.542108871200235,True,True,
