tool,theme_col,theme,beta,se,p_value,rr_per_month,rr_ci_low,rr_ci_high,pct_change_per_month,pct_ci_low,pct_ci_high,n_months,total_count,n_obs,df_resid,pearson_chi2,deviance,dispersion_pearson,dispersion_deviance,overdispersed_1_5,underdispersed_0_8,zero_frac_obs,zero_frac_pred_poisson,ljungbox_p_lag1,autocorr_sig_0_05,sig_0_05
Keyfactor/ejbca-ce,Associated Component Theme,Signing workflow,-0.020328558531114368,0.03623079822386651,0.574739572391021,0.9798766735712301,0.912706495169982,1.0519902076846726,-2.0123326428769905,-8.729350483001797,5.199020768467255,49,4,49,47.0,45.73535792078608,19.721601450890212,0.9730927217188527,0.4196085415083024,False,False,0.9183673469387755,0.9218594933662612,0.5188497760155961,False,False
Keyfactor/ejbca-ce,Associated Component Theme,Notification/Logging,-0.012862165245372077,0.02380406792625923,0.5889661932028378,0.9872201988967854,0.9422184431192778,1.0343713055364496,-1.2779801103214639,-5.778155688072218,3.4371305536449626,49,9,49,47.0,50.29310701161109,32.98045569768654,1.0700661066300232,0.7017118233550327,False,False,0.8367346938775511,0.8326678767502655,0.6254089724353988,False,False
Keyfactor/ejbca-ce,Associated Component Theme,Core,-0.008127472331692765,0.008738396177415255,0.3523258250715019,0.9919054662752804,0.9750615041060344,1.0090404039987497,-0.8094533724719577,-2.4938495893965573,0.9040403998749724,49,66,49,47.0,61.328180817882995,64.32188320338642,1.304854911018787,1.3685507064550302,False,False,0.2857142857142857,0.2631322684736678,0.2729314361463987,False,False
Keyfactor/ejbca-ce,Associated Component Theme,Release pipeline,-0.006259797852057091,0.025058585387632844,0.8027369822767518,0.9937597538646465,0.9461306371629359,1.0437865656294698,-0.6240246135353456,-5.386936283706412,4.378656562946981,49,8,49,47.0,53.64166782373347,31.70809987606405,1.1413120813560313,0.6746404228949798,False,False,0.8571428571428571,0.8494543512276381,0.17126940693060225,False,False
Keyfactor/ejbca-ce,Associated Component Theme,Web Client,-0.003795290198929794,0.009292797386800663,0.6829712065456273,0.9962119028121851,0.9782312616193086,1.0145230419868698,-0.37880971878149206,-2.1768738380691377,1.4523041986869822,49,58,49,47.0,49.43643080803726,57.22570878727049,1.0518389533624948,1.2175682720695848,False,False,0.30612244897959184,0.3067690677756141,0.12034491309855343,False,False
Keyfactor/ejbca-ce,Associated Component Theme,Build/CI/Installation,0.004245484488100177,0.012322470593571768,0.7304462928678779,1.0042545093244506,0.9802902694328184,1.0288045805881683,0.4254509324450595,-1.9709730567181616,2.880458058816826,49,33,49,47.0,49.19763090283835,54.74419342240117,1.0467581043157095,1.164770072817046,False,False,0.5306122448979592,0.5103526110596143,0.4900555067778952,False,False
Keyfactor/ejbca-ce,Associated Component Theme,Policy/configuration,0.011020962095269139,0.009045690113815537,0.22308488529481596,1.0110819166180427,0.9933138618296785,1.0291678002247633,1.1081916618042698,-0.6686138170321487,2.9167800224763285,49,62,49,47.0,41.75449991712725,51.823896043338166,0.8883936152580265,1.1026360860284716,False,False,0.2857142857142857,0.28757823441282054,0.9589479123938893,False,False
Keyfactor/ejbca-ce,Associated Component Theme,Key Management Core / Secrets Backend,0.013429302090234267,0.029179414297734633,0.6453496578263931,1.013519880180227,0.9571814046701947,1.0731743664352527,1.3519880180226984,-4.281859532980525,7.317436643525266,49,6,49,47.0,43.01158967380562,24.986631747538038,0.9151402058256514,0.5316304627135753,False,False,0.8775510204081632,0.8849881766245757,0.5048572539854157,False,False
Keyfactor/ejbca-ce,Associated Component Theme,API,0.014367343578277262,0.016007158404028554,0.36942155557371115,1.0144710499253877,0.9831371104796589,1.0468036453578784,1.4471049925387724,-1.6862889520341096,4.68036453578784,49,20,49,47.0,71.71112257933936,54.80296225168151,1.5257685655178588,1.1660204734400321,True,False,0.7142857142857143,0.6671252641113857,0.6927909354479158,False,False
Keyfactor/ejbca-ce,Associated Component Theme,Authentication/Authorization tools,0.021205518718946454,0.020962155513832095,0.3117247319724802,1.0214319534539784,0.9803160041420926,1.064272368428645,2.1431953453978414,-1.9683995857907366,6.427236842864503,49,12,49,47.0,61.169526602269606,42.079304965257926,1.3014792894099916,0.8953043609629346,False,False,0.8163265306122449,0.7848421845923034,0.8013281672708533,False,False
