model_set,tool,theme_col,theme_or_category,beta,p_value,n_obs,n_months,df_resid,dispersion_pearson,dispersion_deviance,overdispersed_1_5,underdispersed_0_8,zero_frac_obs,zero_frac_pred_poisson,ljungbox_p_lag1,autocorr_sig_0_05,total_count
aggregate_by_component_theme,ALL,Associated Component Theme,API,-0.03057401382326512,1.1547775306089538e-25,49,49,47.0,2.1377722408764765,2.175878487108866,True,False,0.0,0.0003173382469777586,0.05678171691980603,False,654
aggregate_by_component_theme,ALL,Associated Component Theme,Authentication/Authorization tools,-0.0245960061094668,8.111106067386376e-14,49,49,47.0,1.8274680121798612,1.980455277081809,True,False,0.02040816326530612,0.000745587130836188,0.3590125194365372,False,495
aggregate_by_component_theme,ALL,Associated Component Theme,Build/CI/Installation,-0.022127836912815516,2.0725724231826202e-08,49,49,47.0,1.2155818665301783,1.3476324826734534,False,False,0.02040816326530612,0.004211099071779434,0.22412397456461947,False,340
aggregate_by_component_theme,ALL,Associated Component Theme,CLI tooling,-0.030783650192767947,6.9876752166757084e-43,49,49,47.0,2.8864900099533704,2.8167612555949617,True,False,0.0,3.7723342956100232e-06,0.17303368538782013,False,1110
aggregate_by_component_theme,ALL,Associated Component Theme,Core,-0.03116065711049605,1.0239423299868079e-45,49,49,47.0,1.9014108993532115,2.1638454425612705,True,False,0.02040816326530612,2.5967335834378953e-06,0.8747046337176052,False,1161
aggregate_by_component_theme,ALL,Associated Component Theme,Key Management Core / Secrets Backend,-0.0241039264999832,5.434450430023054e-15,49,49,47.0,1.5274194559061272,1.608391295495699,True,False,0.0,0.00030098966532301146,0.9239026857298918,False,563
aggregate_by_component_theme,ALL,Associated Component Theme,Notification/Logging,-0.02211409659280521,1.2826214294990686e-06,49,49,47.0,1.5572812228898163,1.572552980229677,True,False,0.02040816326530612,0.014142453388865371,0.21709937756718867,False,254
aggregate_by_component_theme,ALL,Associated Component Theme,Policy/configuration,-0.028936378965399617,8.130294761677552e-30,49,49,47.0,1.151236891940505,1.175521399206593,False,False,0.0,3.1860110783505026e-05,0.9130700811766974,False,847
aggregate_by_component_theme,ALL,Associated Component Theme,Release pipeline,-0.019075643198718035,0.004293764255377957,49,49,47.0,0.9173199627801057,1.1155173378371137,False,False,0.12244897959183673,0.11047386305362825,0.36850259809457797,False,117
aggregate_by_component_theme,ALL,Associated Component Theme,Signing workflow,-0.02530652803119224,3.560365780577461e-12,49,49,47.0,1.8835060553437388,1.7225187670044313,True,False,0.0,0.002409013537320435,0.8164351340833953,False,407
aggregate_by_component_theme,ALL,Associated Component Theme,Verification workflow,-0.03375331035797041,1.0789197939658965e-18,49,49,47.0,1.6711014204113532,1.5909481612267637,True,False,0.0,0.0068233276782373705,0.06844608838611713,False,390
aggregate_by_component_theme,ALL,Associated Component Theme,Web Client,-0.016133390958306862,1.471113679333297e-05,49,49,47.0,1.3081896967893283,1.4705452113870052,False,False,0.02040816326530612,0.001480610585085785,0.20697583085543378,False,372
aggregate_by_l1_theme,ALL,L1_Theme,Authentication friction,-0.03036092020544877,9.423950057317207e-09,49,49,47.0,1.7544789238191048,1.747982104297742,True,False,0.08163265306122448,0.04580079423200409,0.14503248360722779,False,199
aggregate_by_l1_theme,ALL,L1_Theme,Build/CI/installation/distribution release issues,-0.019327097197871915,1.0379652250108148e-05,49,49,47.0,1.431668785914232,1.519231785392477,False,False,0.02040816326530612,0.009053426275360144,0.44357910596057626,False,272
aggregate_by_l1_theme,ALL,L1_Theme,Configuration friction,-0.019292471377233746,3.546592276561952e-07,49,49,47.0,0.9519367864749927,0.9891918703996776,False,False,0.0,0.0022916459566256924,0.8523145180190072,False,364
aggregate_by_l1_theme,ALL,L1_Theme,Integration failure/issues,-0.021831949289847257,1.2989808695161043e-14,49,49,47.0,1.3011160845326522,1.4721467318748198,False,False,0.02040816326530612,6.048592906141055e-05,0.5075411041497544,False,659
aggregate_by_l1_theme,ALL,L1_Theme,Missing feature / enhancement request,-0.032646756897181835,1.2110221667505135e-62,49,49,47.0,1.7293557330410454,1.9859848039090329,True,False,0.02040816326530612,2.2861174867872784e-07,0.30391702315750085,False,1481
aggregate_by_l1_theme,ALL,L1_Theme,Notification/Logging /Web UI Issues,-0.021666061273024395,1.5459444898768134e-11,49,49,47.0,2.0612083001538486,2.1296221534504793,True,False,0.02040816326530612,0.0003953030950700503,0.7217961007675014,False,512
aggregate_by_l1_theme,ALL,L1_Theme,Performance issue,-0.021795294812360182,0.0031598572529296133,49,49,47.0,1.658250631186202,1.6897429013795435,True,False,0.20408163265306123,0.16288310928462085,0.45488688207067707,False,97
aggregate_by_l1_theme,ALL,L1_Theme,Security concerns,-0.03255225778557109,9.21049500306266e-12,49,49,47.0,1.219682362779247,1.2323153121250825,False,False,0.04081632653061224,0.028408163370765745,0.3517491996763704,False,248
