month_start,API,Authentication/Authorization tools,Build/CI/Installation,CLI tooling,Core,Key Management Core / Secrets Backend,Notification/Logging,Policy/configuration,Release pipeline,Signing workflow,Verification workflow,Web Client
2021-11-01,25.362598757126044,17.17167781502366,11.242490817253454,43.21011160494617,45.503719929182246,19.34656222594698,8.396533448232208,31.880109439562847,3.640214028610964,14.31215257881938,16.00607082690837,10.895834823800651
2021-12-01,24.59889652305089,16.754474917581657,10.996451017423745,41.90021183309139,44.10765817726602,18.885809396070645,8.212889737817987,30.970833532382336,3.571432714207376,13.954506169636227,15.474828971691148,10.72145848390188
2022-01-01,23.858190398637714,16.34740837719859,10.755795752399024,40.63002122533212,42.754427833819186,18.43602973898644,8.033262567394063,30.08749174807385,3.5039510127314624,13.605796987281618,14.961219045745423,10.549872853334543
2022-02-01,23.13978793984746,15.950231921053584,10.520407182646473,39.39833601192422,41.44271482405317,17.996961920388166,7.857564089718313,29.22934440055988,3.4377443681860544,13.265801699376594,14.464655844937182,10.381033269740325
2022-03-01,22.443017553069907,15.562705259767563,10.290170047529315,38.203988914992166,40.171245389214114,17.56835082984132,7.685708378888362,28.39567290089031,3.372788688555977,12.934302554395485,13.984573588070932,10.214895785534845
2022-04-01,21.767227867288923,15.184593942029563,10.064971608868166,37.04584804229046,38.93878484968014,17.149947432556953,7.517611388319247,27.58577915551576,3.309060337041174,12.611087242205905,13.520425272241972,10.05141715646844
2022-05-01,21.1117871251528,14.81566921275516,9.84470159573752,35.92281581450034,37.74413640600708,16.741508624695616,7.353190909640179,26.798984981723336,3.246536123455491,12.29594875809379,13.071682049584435,9.890554830370023
2022-06-01,20.476082592380184,14.45570787469093,9.629252150470352,34.833827925045114,36.586139976758176,16.34279709211737,7.192366532490254,26.03463153974509,3.185193295787963,11.988685270186297,12.637832624705176,9.732266936071124
2022-07-01,19.85951998494965,14.104492153381532,9.418517775844435,33.7778523314384,35.4636710719896,15.9535811724958,7.0350596051935295,25.292078781063697,3.1250095319235647,11.689099990187634,12.218382672116784,9.576512272507134
2022-08-01,19.261522913537373,13.761809565417389,9.21239528342443,32.75388827720925,34.375639701297395,15.573634720715814,6.881193196294159,24.57070491245355,3.065962931520384,11.397001047345151,11.812854273006044,9.42325029799301
2022-09-01,18.68153234468349,13.427452789883551,9.01078374303452,31.760965343477174,33.32098931536582,15.202736977477148,6.730692056932818,23.86990587530814,3.008032008040283,11.1122013655648,11.420785370696022,9.272441119670605
2022-10-01,18.119006078183556,13.101219542931773,8.813584433336828,30.798142529278618,32.2986957799892,14.840672441027166,6.583482584046015,23.18909483981812,2.9511956809301374,10.834518543597412,11.04172924418142,9.124045483124876
2022-11-01,17.57341824021636,12.78291245539995,8.620700793491421,29.86450735977271,31.307766381570868,14.48723074194844,6.439492784370275,22.52770171357609,2.895433267950804,10.563774738219008,10.675253999137274,8.978024762166273
2022-12-01,17.04425879173439,12.47233895340504,8.4320383758742,28.95917502148171,30.34723886313365,14.142206520928342,6.298652239233597,21.885172664196993,2.840724477651041,10.299796550330274,10.320942075821096,8.834340948776653
2023-01-01,16.531033051657374,12.169311141836925,8.247504799829589,28.081287523746123,29.41618048990566,13.80539930943967,6.160892070116992,21.26096965555411,2.7870494019836247,10.042414913902352,9.97838977330778,8.692956643216105
2023-02-01,16.033261234422998,11.873645690683071,8.067009706435295,27.23001288560025,28.513687143574103,13.476613413262925,6.0261449049692075,20.654569997242383,2.7343885090609863,9.791464987697696,9.647206789515094,8.553835044288085
2023-03-01,15.550478001462729,11.585163724114922,7.890464714257083,26.40454434729712,27.63888244432752,13.155657798782618,5.894344845258222,20.06546590689196,2.682722636047732,9.546786049696776,9.327015776495813,8.41693993976038
2023-04-01,15.082232026183217,11.303690712269102,7.717783376071788,25.604099605735872,26.79091689983391,12.842345981991503,5.765427433743347,19.49316408496512,2.6320329821874524,9.308221394162931,9.017451910489664,8.282235696939342
2023-05-01,14.6280855720467,11.029056365657915,7.5488811365375,24.827920073066917,25.968967080328323,12.536495920138258,5.639329622952217,18.93718530168092,2.582301101961298,9.075618231279458,8.7181624762453,8.14968725339498
2023-06-01,14.18761408335607,10.76109453214518,7.383675290790083,24.075270157772177,25.172234819009013,12.237929905955648,5.515989744347219,18.397063995721336,2.5335088983758105,8.8488275892947,8.428806465138589,8.019260107834514
2023-07-01,13.76040578836182,10.49964309642524,7.222084943945809,23.345436567539156,24.399946436965436,11.946474464407745,5.395347478166288,17.872347884383018,2.485638616377593,8.627704219112385,8.14905418662939,7.890920311121934
2023-08-01,13.346061314320105,10.244543881944113,7.0640309714902925,22.637727633268103,23.651351991885655,11.66196025189618,5.277343823923348,17.362597584848267,2.438672836392397,8.412106501266198,7.878586892614121,7.764634457441348
2023-09-01,12.944193314141827,9.995642555203672,6.9094359805342815,21.95147265357177,22.925724549813523,11.384221957866863,5.1619210715539285,16.867386246257905,2.3925944679862954,8.20189635521895,7.617096414245991,7.640369675601696
2023-10-01,12.554426104283914,9.75278853239077,6.75822427191737,21.286021259146345,22.22235947924848,11.113098208760023,5.04902277319187,16.386299192278194,2.347386743646623,7.996939150928271,7.364284810809267,7.518093620480638
2023-11-01,12.176395313544104,9.515834888274954,6.610321803141054,20.64074279641125,21.540573766902448,10.848431474247755,4.938593715563323,15.918933573862226,2.3030332126804285,7.797103622622183,7.119864030247346,7.3977744646054
2023-12-01,11.809747542431014,9.284638267319574,6.465656152113009,20.015025729833773,20.879705354449495,10.590067975704567,4.830579892984512,15.46489803191528,2.259517735228207,7.602261784729353,6.883555580957949,7.2793808898683245
2024-01-01,11.454140032791098,9.059058796952526,6.324156481684794,19.40827706237198,20.23911249562405,10.3378575968578,4.724928480950088,15.023812369581478,2.2168244763907548,7.4122888499101345,6.655090214481415,7.162882079375022
2024-02-01,11.109240347383489,8.838960002944212,6.185753504965653,18.81992177348665,19.618173133043506,10.091653796565955,4.621587810299132,14.59530723387739,2.1749379004669804,7.227063149135962,6.434207618720592,7.04824770942298
2024-03-01,10.774726059103354,8.624208726841422,6.050379451395425,18.2494022741898,19.01628429414996,9.851313523674271,4.520507341946187,14.179023806406072,2.133842765300606,7.046466053765869,6.22065612134276,6.935447941608551
2024-04-01,10.45028444956313,8.414675045407286,5.9179680335599265,17.69617787861312,18.432861505684652,9.61669713389809,4.4216376421649635,13.77461350289236,2.093524116733679,6.870381899570229,6.014192403025651,6.824453415060258
2024-05-01,10.135612216749848,8.210232192018472,5.7884544147325805,17.159724291595698,17.867338226126314,9.387668308685692,4.324930358412605,13.381737681288056,2.053967283164885,6.698697912653082,5.814581220220844,6.715235238796389
2024-06-01,9.83041519148538,8.010756479972162,5.661775177126397,16.63953311180529,17.319165295542486,9.16409397601349,4.230338195682732,13.00006735820238,2.0151578702106816,6.531304137225579,5.62159513711865,6.607764984204908
2024-07-01,9.534408062424353,7.816127227656313,5.537868290840738,16.135111349922386,16.787810402319447,8.945844233067533,4.137814893375666,12.629282933420326,1.977081755467309,6.368093365184293,5.435014266509078,6.502014677643728
2024-08-01,9.24731410933282,7.626226685538027,5.416673083487692,15.645980961430284,16.27275756625298,8.732792270766407,4.0473152026745325,12.269073922278285,1.9397250833717716,6.208961067449305,5.254626019243647,6.39795679315938
2024-09-01,8.968864944398259,7.440939964925772,5.298130210483161,15.171678393568463,15.773506637497992,8.524814300081701,3.958794864416186,11.919138695672698,1.9030742601599209,6.0538053270180905,5.080224862012551,6.295564245322237
2024-10-01,8.69880026132903,7.2601549684624125,5.182181625988123,14.711754146020017,15.28957281089044,8.32178948011317,3.872210587446121,11.579184227484186,1.867115948919803,5.902526773692293,4.911612083161222,6.1948103821764
2024-11-01,8.436867592008861,7.0837623223069865,5.0687705544858375,14.26577234491656,14.820486155169938,8.123599847876863,3.7875200274467975,11.24892584920554,1.8318370647384763,5.755028520435646,4.748595566279428,6.0956689783024
2024-12-01,8.182822070478734,6.911655309964179,4.957841462981088,13.833310329757149,14.365791156645924,7.930130249765406,3.7046817662290152,10.928087011568133,1.7972247699405244,5.611216101322222,4.590989571304968,5.998114227990933
2025-01-01,7.936426204025646,6.743729807721493,4.849340033807825,13.413958252849504,13.925046276864183,7.741268274640598,3.6236552914762177,10.616399052967218,1.76326646941654,5.470997411035304,4.438614522892536,5.902120738525849
2025-02-01,7.697449651164164,6.57988422165501,4.743213138031916,13.007318690894156,13.497823523844245,7.556904188519455,3.544400976931812,10.313600974492068,1.7299498060398752,5.334282645878118,4.291296805806625,5.807663523574626
2025-03-01,7.465669006303259,6.420019426165683,4.639408809435976,12.613006268343176,13.083708036471329,7.376930870815759,3.4668800630198224,10.019439221372709,1.6972626561699928,5.2009842462586455,4.148868567105348,5.714717996684629
2025-04-01,7.24086759089714,6.264038704008944,4.537876219073524,12.23064729217672,12.682297681639165,7.201243752100067,3.391054637889396,9.73366747066009,1.665193125240779,5.071016840611689,4.011167524889781,5.623259964883454
2025-05-01,7.022835250884791,6.111847687781345,4.438565650380028,11.85987939775118,12.293202663752558,7.0297407533420015,3.3168876188738907,9.456046424962096,1.633729543432216,4.944297190722261,3.87803678340092,5.533265622381699
2025-06-01,6.81136816022889,5.963354302828847,4.34142847482863,11.500351205383328,11.916045146210498,6.862322226599543,3.2443427343554787,9.186343612062462,1.6028604614238375,4.820744138415292,3.749324654253577,5.4447115443765
2025-07-01,6.606268630370436,5.818468711542204,4.246417128118651,11.151721987345,11.550458884502191,6.6988908971208385,3.173384506026393,8.924333190254934,1.5725746462284214,4.700278553577516,3.6248844836035223,5.3575746809542455
2025-08-01,6.4073449254209605,5.677103259005749,4.153485086885194,10.813661344952695,11.196088870559814,6.539351806824905,3.1039782315381537,8.669795759229686,1.5428610771044042,4.582823283478218,3.5045744850509535,5.2718323510908744
2025-09-01,6.21441108291954,5.53917241996669,4.062586845918468,10.48584889544616,10.852590988022536,6.3836122591283875,3.0360899675302675,8.4225181763535,1.5137089415455316,4.468303103356428,3.388257578089907,5.187462236748182
2025-10-01,6.027286739987073,5.404592747092845,3.9736778958816488,10.167973968359044,10.519631678077142,6.231581765086302,2.96968651303012,8.182293378190035,1.485107631346281,4.356644668242876,3.275801231919535,5.104442377064616
2025-11-01,5.845796964715272,5.273282820487514,3.886714701516389,9.859735311094056,10.196887615550702,6.083171990815474,2.904735393215937,7.948920207110584,1.45704673874163,4.247776465985872,3.1670773144392865,5.022751162639045
