model_set,n_models,median_dispersion_pearson,p90_dispersion_pearson,n_overdispersed_1_5,n_underdispersed_0_8,n_autocorr_sig_0_05,pct_overdispersed_1_5
aggregate_by_component_theme,11,2.2482037902261145,2.9592044066041643,9,0,0,81.81818181818183
aggregate_by_l1_theme,11,2.198329481652359,2.558376987718012,9,0,1,81.81818181818183
overall_usability_by_tool,8,1.7743773874284066,6.146248078475079,6,0,2,75.0
tool_by_Associated_Component_Theme,81,1.5016081043834788,3.961507040263897,41,4,20,50.617283950617285
tool_by_L1_Theme,87,1.3045452909030726,3.0350675724138876,31,4,22,35.63218390804598
tool_by_L1_Theme_Secondary,32,1.5529658578625276,4.828143484240451,17,0,9,53.125
tool_by_Nielsen_theme,76,1.096266653844523,2.15979686232418,23,7,13,30.263157894736842
