tool,Authentication friction,Build/CI/installation/distribution release issues,Configuration friction,Integration failure/issues,Missing feature / enhancement request,Notification/Logging /Web UI Issues,Performance issue,Security concerns,Tedious Workflows,Unexpected behavior,User confusion / unclear documentation/documentation improvements
Keyfactor/ejbca-ce,0.2973523114568568,0.898533777154207,0.438395284850047,0.1378762048058388,0.9715735911421882,0.5567880808929867,0.4844139794315309,0.90867982925947,0.3892365756769225,0.8488122290370488,0.7685379270740699
Keyfactor/signserver-ce,0.5949904256908984,0.3171367934227724,0.7390497442415043,0.4129985996417095,0.6215752373663348,0.7774059867607912,0.8308051325756507,0.4642043426003621,,0.3969467757155445,0.3280770619759581
hashicorp/vault,4.178932851947439e-26,5.711224750379995e-34,9.5896286046282e-31,2.3533065626152407e-20,4.6970781061391095e-31,5.664963916478498e-31,3.3939284426479645e-14,6.706101909137005e-12,0.0037880582167456,3.1869998979894312e-21,3.9783454151681057e-36
notaryproject/notation,0.0591048314573406,1.0055000162183695e-06,0.0002816245422032,0.0001123235397196,1.530523283464856e-05,5.9142228921146576e-05,0.0152734137090365,0.4303821766582764,0.3199307406543399,0.0129147825724864,3.0360753141280892e-06
openpubkey/openpubkey,0.0011927620976427,4.978247909062178e-05,0.0017177830383018,0.0054328313206711,2.4381528707412024e-05,0.0003852165028529,0.0561153890360193,0.2080274835166141,0.8031943125340044,0.0259352144318984,0.0002320217601737
sigstore/cosign,1.6299514404250042e-08,5.687846503730533e-26,4.276519437995624e-16,1.4119415997114289e-15,3.9695157182908746e-18,8.835704285138625e-22,2.1410056257840852e-10,1.4147608732682408e-05,0.0631704759995703,6.149690062789218e-09,5.39407242240817e-18
sigstore/fulcio,9.270174494879464e-08,4.6786266891668346e-17,5.481259379769806e-09,1.5401583913603195e-09,2.5233697472632964e-11,9.826633146280427e-12,0.0001918483643042,0.0001551943063021,0.9511717816090982,0.0004039266962517,9.51240745862983e-12
sigstore/rekor,1.6362717767616603e-06,2.175976251119646e-12,3.5123006498317498e-12,1.0503507833646382e-05,2.163002633492382e-18,4.309875566769398e-18,2.0862332980979275e-06,0.0011812579736299,0.0038512169155964,9.825395446212364e-06,1.753247714539005e-09
