tool,beta,se,p_value,rr_per_month,rr_ci_low,rr_ci_high,pct_change_per_month,pct_ci_low,pct_ci_high,n_months,total_count,n_obs,df_resid,pearson_chi2,deviance,dispersion_pearson,dispersion_deviance,overdispersed_1_5,underdispersed_0_8,zero_frac_obs,zero_frac_pred_poisson,ljungbox_p_lag1,autocorr_sig_0_05,sig_0_05
sigstore/rekor,-0.054188941145296696,0.005495183582977112,6.133032964341953e-23,0.947253114504514,0.9371054144711389,0.9575107016587797,-5.274688549548601,-6.2894585528861064,-4.248929834122029,49,228,49,47.0,44.769150603293,50.33352391256545,0.952535119219,1.0709260406928818,False,False,0.10204081632653061,0.09237592910423852,0.9305068709516175,False,True
sigstore/fulcio,-0.05126199145368272,0.0059590563254719965,7.808839625074542e-18,0.9500297382526193,0.9389981763907789,0.9611909013854434,-4.997026174738073,-6.100182360922113,-3.8809098614556614,49,188,49,47.0,71.64689803157724,72.5456735819228,1.524402085778239,1.5435249698281446,True,False,0.12244897959183673,0.11288103601382976,0.1959000760008728,False,True
sigstore/cosign,-0.0348130620249599,0.0029402986586456064,2.425258223777205e-32,0.9657859414517508,0.9602361382769506,0.971367820398386,-3.4214058548249215,-3.9763861723049354,-2.8632179601614016,49,665,49,47.0,118.51374464370227,99.04906253347089,2.5215690349723885,2.107426862414274,True,False,0.0,0.0005717842091080933,0.19774436659452901,False,True
notaryproject/notation,-0.028137974889266296,0.004532302345575996,5.355464814589982e-10,0.9722542108793008,0.9636556213245868,0.9809295246710702,-2.774578912069925,-3.634437867541318,-1.9070475328929803,49,267,49,47.0,239.98086377288578,224.68314476361905,5.105975824955016,4.780492441779129,True,False,0.12244897959183673,0.01737055808408988,8.699129558134981e-05,True,True
hashicorp/vault,-0.022541481508468474,0.0017202540491145324,3.140978924697703e-39,0.9777106794383149,0.9744196855945274,0.9810127882468758,-2.228932056168509,-2.5580314405472593,-1.8987211753124233,49,1794,49,47.0,93.40818819135839,101.70307906911988,1.9874082593906042,2.1638952993429763,True,False,0.0,8.449065204280361e-11,0.7752798061374007,False,True
Keyfactor/ejbca-ce,-0.001101748450402489,0.005315326074636757,0.8357930053989595,0.9988988582515901,0.9885463111382075,1.009359822371366,-0.11011417484099173,-1.1453688861792544,0.9359822371366011,49,177,49,47.0,67.35724011457405,67.73108535054125,1.4331327683951927,1.4410869223519416,False,False,0.04081632653061224,0.027033940090128376,0.37778426952467714,False,False
Keyfactor/signserver-ce,0.013355270482906788,0.01490195455384627,0.3701409816072203,1.0134448504517588,0.9842724300489617,1.0434818994738042,1.3444850451758805,-1.57275699510383,4.348189947380421,49,23,49,47.0,73.3832862269118,59.979012994884364,1.5613465154662087,1.2761492126571141,True,False,0.6938775510204082,0.627811960395491,0.7089889951900584,False,False
openpubkey/openpubkey,0.036968294327722966,0.007324595430043044,4.484612780382871e-07,1.037660120604879,1.0228696784242424,1.0526644289157892,3.7660120604879,2.286967842424237,5.266442891578915,49,109,49,47.0,402.95685015769567,286.9792469043269,8.573550003355226,6.105941423496317,True,False,0.6530612244897959,0.17470200022595392,5.3392236716123563e-05,True,True
