month_start,API,Authentication/Authorization tools,Build/CI,CLI tooling,Documentation/Help,Key Management Core (secret engine),Notification/Logging,Policy/configuration,Signing workflow,Verification workflow,Web Client
2021-11-01,108.67798076210651,54.23579572668032,98.90846685214451,109.725379216701,68.66936452088343,30.515839090704596,60.477588463781174,79.83629242804074,39.88655621780965,40.17135653181559,75.97057850188502
2021-12-01,105.93240609303236,53.092402292661085,96.3481392752928,107.02761729023683,67.02116676767629,29.86291637922004,58.97201884771254,77.91696327259177,38.711227144092184,39.01905759925022,74.17550051716076
2022-01-01,103.25619395913424,51.973113760717006,93.8540878981378,104.39618386009536,65.41252895291669,29.223963726559877,57.50392989061876,76.04377634513108,37.57053125414677,37.899811890290586,72.42283770202951
2022-02-01,100.64759202734294,50.877421953796485,91.42459710636282,101.82944814137248,63.84250156145879,28.59868222668187,56.07238852385766,74.21562234911225,36.46344801896156,36.812671286735856,70.71158784565326
2022-03-01,98.10489223447075,49.804829408184034,89.05799569574859,99.32581944444073,62.31015786835939,27.986779368994508,54.67648490722337,72.43141865637645,35.38898698124642,35.75671486676807,69.04077241802719
2022-04-01,95.62642966880328,48.75484914764273,86.75265572258105,96.88374618914702,60.81459339186886,27.38796890151862,53.3153318506816,70.69010866602319,34.34618686931558,34.73104812483495,67.40943601043503
2022-05-01,93.21058147994732,47.72700446231824,84.50699138381749,94.50171494324802,59.354925359551466,26.801970696976987,51.98806425050153,68.99066117869343,33.33411473708134,33.73480221391016,65.81664578912576
2022-06-01,90.8557658162186,46.72082869230412,82.31945792624003,92.17824948448688,57.930292187219735,26.22851062174904,50.69383853942423,67.3320697858965,32.3518651293894,32.76713320948892,64.2614909618985
2022-07-01,88.56044078887585,45.73586501576977,80.18855058384737,89.91190988573055,56.53985297037545,25.667320407629372,49.43183215051946,65.71335227401704,31.398559271949164,31.82722139469577,62.743082257291846
2022-08-01,86.32310346252059,44.77166624155512,78.11280354275227,87.70129162259967,55.18278698785723,25.118137526330308,48.20124299438939,64.13355004265102,30.473344285134008,30.91427056589856,61.260551416079245
2022-09-01,84.14228887100397,43.82779460613792,76.09078893287389,85.54502470303939,53.85829321740107,24.58070506666941,47.00128894938719,62.591727536924594,29.57539242094856,30.02750735824066,59.81305069477904
2022-10-01,82.01656905819446,42.90382157488121,74.12111584573096,83.44177281829066,52.56558986282879,24.054771614384943,45.83120736452642,61.08697169346133,28.703900322479967,29.166180590520085,58.399752380896466
2022-11-01,79.94455214297895,41.999327647470835,72.2024293776601,81.39023251473621,51.303913892584816,23.5400911345226,44.69025457476539,59.61839139966791,27.858088305170863,28.32956062886041,57.01984831961972
2022-12-01,77.92488140788588,41.11390216745493,70.33340969780139,79.389132386108,50.07252058934877,23.036422856338913,43.57770542835832,58.18511696601999,27.03719965927077,27.51693876863451,55.67254945169907
2023-01-01,75.95623441073171,40.247143135798446,68.51277114020974,77.43723228555527,48.870683110458394,22.5435311606671,42.49285282597295,56.786299611033826,26.24049997284219,26.727626634117676,54.35708536224582
2023-02-01,74.03732211871136,39.398657028368355,66.73926131946779,75.53332255708531,47.69769205888314,22.061185469693037,41.43500727128165,55.42111095862045,25.46727647471544,25.960955595361316,53.07270384019218
2023-03-01,72.16688806436339,38.56805861726675,65.01166026919186,73.67622328590024,46.55285506449521,21.58916013908946,40.40349643274047,54.08874254752306,24.716837396804557,25.216276201793427,51.81867044816061
2023-04-01,70.34370752285938,37.754970795930376,63.328779602838566,71.8647835671654,45.435496375390926,21.12723435245814,39.397664716277426,52.78840535254867,23.988511355213628,24.492957632066084,50.594268102496386
2023-05-01,68.5665867100768,36.95902440791751,61.68946169623414,70.09788079275624,44.34495645902114,20.675192018030632,38.41687284861874,51.519329317309065,23.281646749580037,23.79038715968371,49.39879666322366
2023-06-01,66.83436200093219,36.17985807930438,60.092578891265454,68.37441995554148,43.280591612895314,20.232821667579135,37.460497470987896,50.28076289819568,22.59561118011709,23.10796963395966,48.23157253369011
