tool_family,avg_beta,min_beta,max_beta,n_themes,n_negative,n_positive,pattern
Sigstore,-0.04453780505768973,-0.060664468077233746,-0.02628820741269561,11,11,0,all_negative_or_zero
Vault,-0.02383954232041634,-0.03368870440197926,-0.01734834866369375,11,11,0,all_negative_or_zero
Notary,-0.026603372656628373,-0.0495164009655648,0.005148311690633803,11,10,1,mixed
Keyfactor,0.00571909920441745,-0.041797615669515495,0.03276162338009758,11,4,7,mixed
OpenPubKey,0.061920836360012894,0.03184746376345019,0.13219760014742402,11,0,11,all_positive_or_zero
