tool,theme_col,theme,beta,se,p_value,rr_per_month,rr_ci_low,rr_ci_high,pct_change_per_month,pct_ci_low,pct_ci_high,n_months,total_count,n_obs,df_resid,pearson_chi2,deviance,dispersion_pearson,dispersion_deviance,overdispersed_1_5,underdispersed_0_8,zero_frac_obs,zero_frac_pred_poisson,ljungbox_p_lag1,autocorr_sig_0_05,sig_0_05
Keyfactor/ejbca-ce,L1_Theme,Tedious Workflows,-0.03397284061950688,0.03779050960436895,0.3686643244178842,0.9665977564772652,0.8975896819405289,1.0409112778646965,-3.34022435227348,-10.24103180594711,4.0911277864696505,49,4,49,47.0,40.5708377574077,19.180504093899128,0.8632093139873979,0.40809583178508785,False,False,0.9183673469387755,0.9222837516869715,0.24544237010708092,False,False
Keyfactor/ejbca-ce,L1_Theme,Security concerns,-0.02208629176691514,0.029710944950930303,0.45725634487888844,0.9781558246148753,0.9228212327757985,1.0368084123400967,-2.184417538512473,-7.717876722420147,3.6808412340096686,49,6,49,47.0,53.72087058927665,27.404584984630397,1.1429972465803542,0.5830762762687318,False,False,0.8979591836734694,0.8853830020869684,0.4099196467067242,False,False
Keyfactor/ejbca-ce,L1_Theme,Performance issue,-0.020328558574433095,0.0512375630946203,0.6915510274425536,0.9798766735287832,0.8862517892483072,1.0833922221361172,-2.012332647121684,-11.374821075169283,8.33922221361172,49,2,49,47.0,45.41386403590236,12.633389447684886,0.9662524262957948,0.2687955201635082,False,False,0.9591836734693877,0.9600703787525153,0.7454009367713308,False,False
Keyfactor/ejbca-ce,L1_Theme,Notification/Logging /Web UI Issues,-0.013560323882940536,0.01402048258361947,0.33345428884875117,0.9865312031299026,0.959790286691899,1.014017153792423,-1.3468796870097388,-4.020971330810097,1.4017153792422965,49,26,49,47.0,65.26379012208868,60.10067094695134,1.388591279193376,1.2787376797223688,False,False,0.6530612244897959,0.5912492824134099,0.3985485430246435,False,False
Keyfactor/ejbca-ce,L1_Theme,Build/CI/installation/distribution release issues,-0.009374926071606258,0.011531298848031998,0.41621904719652003,0.9906688815432174,0.9685295632564123,1.0133142756719995,-0.9331118456782583,-3.1470436743587737,1.3314275671999498,49,38,49,47.0,48.412653514153384,55.06789557509733,1.0300564577479443,1.1716573526616454,False,False,0.46938775510204084,0.4628848908714418,0.11883172515735452,False,False
Keyfactor/ejbca-ce,L1_Theme,User confusion / unclear documentation,-0.0017263964301856478,0.007716537486306325,0.822969871802991,0.9982750929349299,0.9832903708780404,1.0134881726588651,-0.17249070650701137,-1.6709629121959613,1.348817265886515,49,84,49,47.0,44.10376773436652,52.40659370066158,0.9383780369014153,1.1150339085247145,False,False,0.16326530612244897,0.18025001062030852,0.29646020576924964,False,False
Keyfactor/ejbca-ce,L1_Theme,Integration failure/issues,0.009566112844321097,0.012568657263633806,0.4465922179475259,1.0096120143513743,0.985044505686812,1.03479224911968,0.9612014351374265,-1.495549431318799,3.479224911967993,49,32,49,47.0,47.209883429807206,52.68672855477197,1.004465604889515,1.1209942245696163,False,False,0.5306122448979592,0.5224666782087143,0.005954589227138755,True,False
Keyfactor/ejbca-ce,L1_Theme,Missing feature / enhancement request,0.010700910053648956,0.014845519610455224,0.47102181843625734,1.010758369565093,0.9817718708269572,1.0406006853561134,1.0758369565093018,-1.822812917304284,4.060068535611339,49,23,49,47.0,49.657635811744825,49.177291977331606,1.0565454428030814,1.0463253612198213,False,False,0.6326530612244898,0.6269501229943499,0.2132332023167961,False,False
Keyfactor/ejbca-ce,L1_Theme,Unexpected behavior,0.016197008715544976,0.012317560337918225,0.18852581345684272,1.0163288913337438,0.9920860717871183,1.0411641134110405,1.6328891333743822,-0.7913928212881727,4.116411341104054,49,34,49,47.0,41.27466899998969,46.322180503270815,0.8781844468082913,0.9855783085802301,False,False,0.46938775510204084,0.5058144090851528,0.6984159549248663,False,False
Keyfactor/ejbca-ce,L1_Theme,Configuration friction,0.020095323458623866,0.01079599495685844,0.06269217512162273,1.0202985937821885,0.9989357400699128,1.0421183052285763,2.0298593782188457,-0.10642599300871858,4.211830522857629,49,45,49,47.0,47.23283102466005,55.43572585058984,1.0049538515885117,1.179483528735954,False,False,0.42857142857142855,0.4122980335554297,0.7374098495283709,False,False
Keyfactor/ejbca-ce,L1_Theme,Authentication friction,0.030216481091805813,0.021525988418725647,0.16040195895798615,1.030677632023469,0.988096952281713,1.0750932676195903,3.067763202346896,-1.1903047718286985,7.509326761959034,49,12,49,47.0,57.31454390305515,41.05245930370298,1.219458380916067,0.8734565809298507,False,False,0.8163265306122449,0.7868574776631743,0.7457336882505756,False,False
Keyfactor/signserver-ce,L1_Theme,Performance issue,-0.0632666727645979,0.08732016474628151,0.46873624297224936,0.9386931164204195,0.7910341051330397,1.1139150146590513,-6.130688357958047,-20.896589486696026,11.39150146590513,49,1,49,47.0,34.45405358072981,7.136475186525424,0.7330649698027619,0.15183989758564734,False,True,0.9795918367346939,0.9799398191614411,0.8281237678684322,False,False
Keyfactor/signserver-ce,L1_Theme,Authentication friction,-0.019019875881432977,0.0361219073021327,0.598508321542724,0.981159860631944,0.9140967916323217,1.0531430379448414,-1.8840139368055953,-8.590320836767829,5.314303794484143,49,4,49,47.0,43.45510287207979,19.760948572390962,0.9245766568527615,0.4204457143061907,False,False,0.9183673469387755,0.9218289673264483,0.147053503298451,False,False
Keyfactor/signserver-ce,L1_Theme,Build/CI/installation/distribution release issues,-0.003001081512609825,0.031639872280558715,0.9244329767914748,0.9970034172310221,0.9370531908405434,1.0607891032084276,-0.2996582768977851,-6.29468091594566,6.078910320842756,49,5,49,47.0,102.80955304422112,29.406495966811413,2.187437298813215,0.6256701269534343,True,False,0.9387755102040817,0.9030011585493627,0.08722107029296369,False,False
Keyfactor/signserver-ce,L1_Theme,User confusion / unclear documentation,-0.001153907657251456,0.019613110848251673,0.9530847376998044,0.9988467578381912,0.9611780562467253,1.0379917010795423,-0.11532421618087874,-3.8821943753274746,3.7991701079542306,49,13,49,47.0,73.7215051953554,46.63203400264992,1.568542663730966,0.992170936226594,True,False,0.8163265306122449,0.7669783145096065,0.8486665577699517,False,False
Keyfactor/signserver-ce,L1_Theme,Notification/Logging /Web UI Issues,0.01858536266659573,0.04166962286084321,0.6555849229568708,1.0187591454552163,0.9388616970197425,1.1054558938160812,1.8759145455216286,-6.113830298025746,10.545589381608123,49,3,49,47.0,72.84978670128083,19.328793861206012,1.5499954617293794,0.4112509332171492,True,False,0.9591836734693877,0.9407319951947604,0.7614429253806477,False,False
Keyfactor/signserver-ce,L1_Theme,Configuration friction,0.024574315824647995,0.03276588425077867,0.4532564944083388,1.0248787529868395,0.9611288332845049,1.0928570884033983,2.4878752986839503,-3.8871166715495065,9.285708840339835,49,5,49,47.0,43.641860746848586,22.241017356582926,0.9285502286563528,0.47321313524644526,False,False,0.8979591836734694,0.9035446357331841,0.3978169441290753,False,False
Keyfactor/signserver-ce,L1_Theme,Missing feature / enhancement request,0.03226991048548628,0.03358921888633679,0.33669183259923774,1.0327962302199447,0.9669920948045169,1.1030783590554196,3.279623021994471,-3.3007905195483134,10.307835905541962,49,5,49,47.0,56.21940142230486,24.616142104437298,1.1961574770703163,0.5237477043497297,False,False,0.9183673469387755,0.9039258268687396,0.20592229945220672,False,False
Keyfactor/signserver-ce,L1_Theme,Unexpected behavior,0.04597262008503898,0.05627228319241328,0.4139470665484638,1.0470457425410784,0.9377038966996508,1.169137497276017,4.704574254107841,-6.229610330034918,16.91374972760169,49,2,49,47.0,38.88275330839886,12.043883891227782,0.8272926235829545,0.2562528487495273,False,False,0.9591836734693877,0.960315907695141,0.7026265463476198,False,False
Keyfactor/signserver-ce,L1_Theme,Integration failure/issues,0.05595713391587406,0.04188672723119545,0.1815768491121058,1.0575523496369834,0.9741978627560376,1.1480388276142037,5.755234963698341,-2.580213724396241,14.803882761420372,49,4,49,47.0,34.22112917284193,17.932036961892063,0.7281091313370622,0.3815327013168524,False,True,0.9183673469387755,0.9232980538765072,0.38360827906442396,False,False
Keyfactor/signserver-ce,L1_Theme,Tedious Workflows,0.07126217028399098,0.09164148702399999,0.43679360006800916,1.0738627238618228,0.8973088657223001,1.285155194328394,7.38627238618228,-10.269113427769994,28.515519432839408,49,1,49,47.0,32.14982814965018,7.002075065658294,0.6840388968010678,0.14898032054592117,False,True,0.9795918367346939,0.9799718659121794,0.8152617027257698,False,False
hashicorp/vault,L1_Theme,User confusion / unclear documentation,-0.03368870440197926,0.003438952274321233,1.1688746861643291e-22,0.9668724409297139,0.9603773000381564,0.9734115091977302,-3.3127559070286083,-3.9622699961843644,-2.658849080226977,49,482,49,47.0,64.81411085135116,68.23899097962452,1.379023635135131,1.451893425098394,False,False,0.0,0.002723611469463696,0.9334302513664055,False,True
hashicorp/vault,L1_Theme,Authentication friction,-0.03248704941843653,0.006592568144177205,8.314827782598637e-07,0.9680349863661754,0.9556070528790898,0.9806245485585893,-3.1965013633824646,-4.439294712091025,-1.937545144141073,49,130,49,47.0,78.37543257886672,88.32830132868159,1.6675623952950367,1.8793255601847147,True,False,0.1836734693877551,0.1203213675730224,0.09551107833806775,False,True
