tool,API,Authentication/Authorization tools,Build/CI,CLI tooling,Documentation/Help,Key Management Core (secret engine),Notification/Logging,Policy/configuration,Signing workflow,Verification workflow,Web Client
Keyfactor/ejbca-ce,-0.0026007039253505,0.0104348149140685,-0.0005681891615135,0.0009459798338371,0.0021955455254134,,-0.0001485149823071,0.0037757380521654,0.0177187783913798,0.0091211440635227,-0.0015152907836501
Keyfactor/signserver-ce,0.0203285585311143,0.0114228634602046,0.0133552704829067,0.0133552704829067,0.0165681503187872,,-0.0037521129984256,0.0120698108300837,0.0107309643176098,0.0901679226948008,0.0059458984174007
hashicorp/vault,-0.0229600218993928,-0.0236143564078597,-0.0243763357297815,-0.0231153877847101,-0.0261495463229512,-0.0216284074971609,-0.023878218771537,-0.022525672969226,-0.0206559593077496,-0.0215825153913449,-0.0203703010055637
notaryproject/notation,-0.0260134484231648,-0.021080009457664,-0.0263464405016362,-0.0279082866751856,-0.0279086951048326,,-0.0228108587146048,-0.0255363515686345,-0.0271142104634923,-0.0237662368162287,-0.0255521570594902
openpubkey/openpubkey,0.0389546086578655,0.0320254478985211,0.0387634284001892,0.0455512603855714,0.0416082549579207,,0.0336558573331005,0.0403568430575439,0.0203285585311143,0.0262309647124622,0.0321019768596364
sigstore/cosign,-0.0363072643669153,-0.0272516428145247,-0.034590679366644,-0.0315884591430413,-0.0284638949034437,,-0.0280650872838255,-0.0326296179034608,-0.0435793880919849,-0.0331523779763352,-0.0352244657722885
sigstore/fulcio,-0.0485455615805208,-0.0422333206825637,-0.0512619914536826,-0.0437621276316462,-0.0515707141019762,,-0.0557676539671575,-0.0446426211794511,-0.0421047323384789,-0.0491890457476631,-0.0473183135499044
sigstore/rekor,-0.0518110014640026,-0.0832321124505723,-0.0531116181495763,-0.0544654381746573,-0.044870128671596,,-0.0558239772871281,-0.065314120323288,-0.0526780590779825,-0.0521039176265741,-0.0621938014583429
