category,month,month_start,count,expected_count
Build/CI/installation/distribution release issues,2024-09,2024-09-01,31,37.270798099075485
Build/CI/installation/distribution release issues,2024-10,2024-10-01,31,36.30280954791475
Build/CI/installation/distribution release issues,2024-11,2024-11-01,30,35.35996137160424
Build/CI/installation/distribution release issues,2024-12,2024-12-01,35,34.441600630140854
Build/CI/installation/distribution release issues,2025-01,2025-01-01,32,33.54709134152828
Build/CI/installation/distribution release issues,2025-02,2025-02-01,32,32.675814041347564
Build/CI/installation/distribution release issues,2025-03,2025-03-01,40,31.827165353766432
Build/CI/installation/distribution release issues,2025-04,2025-04-01,28,31.000557573690227
Build/CI/installation/distribution release issues,2025-05,2025-05-01,23,30.1954182597651
Build/CI/installation/distribution release issues,2025-06,2025-06-01,25,29.41118983795173
Build/CI/installation/distribution release issues,2025-07,2025-07-01,26,28.64732921539483
Build/CI/installation/distribution release issues,2025-08,2025-08-01,20,27.903307404321172
Build/CI/installation/distribution release issues,2025-09,2025-09-01,18,27.178609155705676
Build/CI/installation/distribution release issues,2025-10,2025-10-01,38,26.472732602451824
Build/CI/installation/distribution release issues,2025-11,2025-11-01,3,25.78518891183929
Configuration friction,2021-11,2021-11-01,55,80.19602393965084
Configuration friction,2021-12,2021-12-01,73,78.36536909382038
Configuration friction,2022-01,2022-01-01,64,76.57650306743426
Configuration friction,2022-02,2022-02-01,84,74.82847193658115
Configuration friction,2022-03,2022-03-01,68,73.12034355281152
Configuration friction,2022-04,2022-04-01,66,71.45120704606309
Configuration friction,2022-05,2022-05-01,67,69.82017233893424
Configuration friction,2022-06,2022-06-01,61,68.22636967204426
Configuration friction,2022-07,2022-07-01,63,66.6689491402292
Configuration friction,2022-08,2022-08-01,63,65.14708023932423
Configuration friction,2022-09,2022-09-01,69,63.6599514232925
Configuration friction,2022-10,2022-10-01,52,62.20676967146305
Configuration friction,2022-11,2022-11-01,75,60.78676006564743
Configuration friction,2022-12,2022-12-01,71,59.39916537691015
Configuration friction,2023-01,2023-01-01,55,58.04324566177122
Configuration friction,2023-02,2023-02-01,53,56.71827786762714
Configuration friction,2023-03,2023-03-01,71,55.42355544717814
Configuration friction,2023-04,2023-04-01,73,54.158387981657896
Configuration friction,2023-05,2023-05-01,55,52.92210081266314
Configuration friction,2023-06,2023-06-01,57,51.714034682387975
Configuration friction,2023-07,2023-07-01,54,50.53354538207057
Configuration friction,2023-08,2023-08-01,42,49.38000340846481
Configuration friction,2023-09,2023-09-01,47,48.25279362815379
Configuration friction,2023-10,2023-10-01,46,47.15131494952617
Configuration friction,2023-11,2023-11-01,73,46.07498000224022
Configuration friction,2023-12,2023-12-01,55,45.02321482400502
Configuration friction,2024-01,2024-01-01,51,43.99545855451149
Configuration friction,2024-02,2024-02-01,47,42.991163136350146
Configuration friction,2024-03,2024-03-01,56,42.0097930227561
Configuration friction,2024-04,2024-04-01,56,41.050824892025396
Configuration friction,2024-05,2024-05-01,31,40.113747368450454
Configuration friction,2024-06,2024-06-01,41,39.19806074962591
Configuration friction,2024-07,2024-07-01,42,38.30327673997902
Configuration friction,2024-08,2024-08-01,25,37.42891819038318
Configuration friction,2024-09,2024-09-01,32,36.57451884371509
Configuration friction,2024-10,2024-10-01,29,35.73962308622032
Configuration friction,2024-11,2024-11-01,25,34.9237857045544
Configuration friction,2024-12,2024-12-01,29,34.12657164837005
Configuration friction,2025-01,2025-01-01,34,33.34755579832391
Configuration friction,2025-02,2025-02-01,29,32.58632273937895
Configuration friction,2025-03,2025-03-01,38,31.842466539281926
Configuration friction,2025-04,2025-04-01,31,31.11559053209738
Configuration friction,2025-05,2025-05-01,29,30.40530710668311
Configuration friction,2025-06,2025-06-01,25,29.71123749999415
Configuration friction,2025-07,2025-07-01,35,29.033011595104984
Configuration friction,2025-08,2025-08-01,23,28.37026772384241
Configuration friction,2025-09,2025-09-01,18,27.722652473923763
Configuration friction,2025-10,2025-10-01,39,27.08982050049758
Configuration friction,2025-11,2025-11-01,3,26.471434341986388
User confusion / unclear documentation/documentation improvements,2021-11,2021-11-01,54,82.18143351961058
User confusion / unclear documentation/documentation improvements,2021-12,2021-12-01,74,80.1474745478773
User confusion / unclear documentation/documentation improvements,2022-01,2022-01-01,59,78.16385528088661
User confusion / unclear documentation/documentation improvements,2022-02,2022-02-01,80,76.22932983024594
User confusion / unclear documentation/documentation improvements,2022-03,2022-03-01,73,74.34268314282298
User confusion / unclear documentation/documentation improvements,2022-04,2022-04-01,60,72.50273023758457
User confusion / unclear documentation/documentation improvements,2022-05,2022-05-01,72,70.70831546132366
User confusion / unclear documentation/documentation improvements,2022-06,2022-06-01,72,68.95831176280717
User confusion / unclear documentation/documentation improvements,2022-07,2022-07-01,70,67.25161998488791
User confusion / unclear documentation/documentation improvements,2022-08,2022-08-01,70,65.58716817413654
User confusion / unclear documentation/documentation improvements,2022-09,2022-09-01,61,63.96391090756025
User confusion / unclear documentation/documentation improvements,2022-10,2022-10-01,48,62.38082863598451
User confusion / unclear documentation/documentation improvements,2022-11,2022-11-01,77,60.836927043685805
User confusion / unclear documentation/documentation improvements,2022-12,2022-12-01,69,59.331236423873726
User confusion / unclear documentation/documentation improvements,2023-01,2023-01-01,61,57.86281106962914
User confusion / unclear documentation/documentation improvements,2023-02,2023-02-01,51,56.430728679916434
User confusion / unclear documentation/documentation improvements,2023-03,2023-03-01,74,55.03408978029717
User confusion / unclear documentation/documentation improvements,2023-04,2023-04-01,62,53.67201715798041
User confusion / unclear documentation/documentation improvements,2023-05,2023-05-01,47,52.34365531085533
User confusion / unclear documentation/documentation improvements,2023-06,2023-06-01,61,51.048169910160524
