tool_family,avg_beta,min_beta,max_beta,n_themes,n_negative,n_positive,pattern
Sigstore,-0.043777279468632545,-0.04879704313927719,-0.028062266100575075,11,11,0,all_negative_or_zero
Vault,-0.02205194681000183,-0.025345074379558463,-0.015219945246177584,11,11,0,all_negative_or_zero
Notary,-0.021497999289212446,-0.02763668726005981,-0.01101466790957361,11,11,0,all_negative_or_zero
Keyfactor,0.003858750976042423,-0.014161487516356572,0.015293038084337924,11,2,9,mixed
OpenPubKey,0.03167740467345584,0.012578967399894845,0.03989912195877806,11,0,11,all_positive_or_zero
