tool,theme,beta,p_value,sig_0_05
sigstore/fulcio,Authentication friction,-0.0427242762421028,9.270174494879464e-08,True
sigstore/fulcio,Performance issue,-0.0371584879818221,0.0001918483643042,True
sigstore/fulcio,Tedious Workflows,-0.0012500781977945,0.9511717816090982,False
sigstore/rekor,Authentication friction,-0.076981159438856,1.6362717767616603e-06,True
sigstore/rekor,Tedious Workflows,-0.0663729850995246,0.0038512169155964,True
sigstore/rekor,Missing feature / enhancement request,-0.0612342377479387,2.163002633492382e-18,True
sigstore/rekor,Configuration friction,-0.0607873886408325,3.5123006498317498e-12,True
sigstore/rekor,Security concerns,-0.0588746717582292,0.0011812579736299,True
sigstore/rekor,Notification/Logging /Web UI Issues,-0.0568117973206333,4.309875566769398e-18,True
sigstore/rekor,Build/CI/installation/distribution release issues,-0.0531116181495763,2.175976251119646e-12,True
sigstore/rekor,Performance issue,-0.0507795186597394,2.0862332980979275e-06,True
sigstore/rekor,Unexpected behavior,-0.0490657951254348,9.825395446212364e-06,True
sigstore/rekor,User confusion / unclear documentation/documentation improvements,-0.0469726273766089,1.753247714539005e-09,True
sigstore/rekor,Integration failure/issues,-0.0465855140379541,1.0503507833646382e-05,True
