model_set,tool,theme_col,theme_or_category,beta,p_value,n_obs,n_months,df_resid,dispersion_pearson,dispersion_deviance,overdispersed_1_5,underdispersed_0_8,zero_frac_obs,zero_frac_pred_poisson,ljungbox_p_lag1,autocorr_sig_0_05,total_count
overall_usability_by_tool,sigstore/cosign,(all),(all usability),-0.0348130620249599,2.425258223777205e-32,49,49,47.0,2.5215690349723885,2.107426862414274,True,False,0.0,0.0005717842091080933,0.19774436659452901,False,665
overall_usability_by_tool,sigstore/fulcio,(all),(all usability),-0.05126199145368272,7.808839625074542e-18,49,49,47.0,1.524402085778239,1.5435249698281446,True,False,0.12244897959183673,0.11288103601382976,0.1959000760008728,False,188
overall_usability_by_tool,sigstore/rekor,(all),(all usability),-0.054188941145296696,6.133032964341953e-23,49,49,47.0,0.952535119219,1.0709260406928818,False,False,0.10204081632653061,0.09237592910423852,0.9305068709516175,False,228
tool_by_Associated_Component_Theme,Keyfactor/ejbca-ce,Associated Component Theme,API,-0.0026007039253505507,0.6525139962244887,49,49,47.0,1.40716788348461,1.3968350316031133,False,False,0.04081632653061224,0.047127133366527976,0.20278250169458642,False,150
tool_by_Associated_Component_Theme,Keyfactor/ejbca-ce,Associated Component Theme,Authentication/Authorization tools,0.010434814914068606,0.19826094171487207,49,49,47.0,1.0095414710808839,1.171205893858359,False,False,0.20408163265306123,0.21327892996724232,0.5320595864279427,False,77
tool_by_Associated_Component_Theme,Keyfactor/ejbca-ce,Associated Component Theme,Build/CI,-0.0005681891615135181,0.9151065557546634,49,49,47.0,1.4670169810345506,1.479853160544544,False,False,0.04081632653061224,0.027559160076260122,0.33598425039787094,False,176
tool_by_Associated_Component_Theme,Keyfactor/ejbca-ce,Associated Component Theme,CLI tooling,0.0009459798338371129,0.8707200978924015,49,49,47.0,1.5162770647582655,1.4360559614884671,True,False,0.04081632653061224,0.04882112760486811,0.5999409868860647,False,148
tool_by_Associated_Component_Theme,Keyfactor/ejbca-ce,Associated Component Theme,Documentation/Help,0.0021955455254134668,0.7306518776490318,49,49,47.0,1.421700020101969,1.3536130122743972,False,False,0.061224489795918366,0.08149838832871673,0.0686024866881306,False,123
tool_by_Associated_Component_Theme,Keyfactor/ejbca-ce,Associated Component Theme,Notification/Logging,-0.00014851498230712606,0.9831595410795276,49,49,47.0,1.3506239080469855,1.3878129456873078,False,False,0.14285714285714285,0.127299192240948,0.7225838451068423,False,101
tool_by_Associated_Component_Theme,Keyfactor/ejbca-ce,Associated Component Theme,Policy/configuration,0.0037757380521654263,0.5828090042992029,49,49,47.0,1.292241760896289,1.358561951531682,False,False,0.12244897959183673,0.11571525263238468,0.5233535462655281,False,106
tool_by_Associated_Component_Theme,Keyfactor/ejbca-ce,Associated Component Theme,Signing workflow,0.017718778391379822,0.2098004135093543,49,49,47.0,1.1287114795823747,1.1245182872810446,False,False,0.6122448979591837,0.5933264411196758,0.38180104975143625,False,26
tool_by_Associated_Component_Theme,Keyfactor/ejbca-ce,Associated Component Theme,Verification workflow,0.009121144063522721,0.5471594952050287,49,49,47.0,1.415012797550432,1.1548533236939056,False,False,0.673469387755102,0.639343375071743,0.12516216943423,False,22
tool_by_Associated_Component_Theme,Keyfactor/ejbca-ce,Associated Component Theme,Web Client,-0.0015152907836501362,0.8055491925553733,49,49,47.0,1.4535937423497167,1.4964654614114028,False,False,0.10204081632653061,0.06773089827579827,0.749746747460895,False,132
tool_by_Associated_Component_Theme,Keyfactor/signserver-ce,Associated Component Theme,API,0.020328558531114416,0.2213839141957461,49,49,47.0,1.8268880797473868,1.2865511956095053,True,False,0.7755102040816326,0.6826821712811076,0.846362773115807,False,19
tool_by_Associated_Component_Theme,Keyfactor/signserver-ce,Associated Component Theme,Authentication/Authorization tools,0.011422863460204644,0.5949904256908991,49,49,47.0,0.9714801511607423,0.7522151073932531,False,False,0.7959183673469388,0.7994452361734864,0.8530818186835332,False,11
tool_by_Associated_Component_Theme,Keyfactor/signserver-ce,Associated Component Theme,Build/CI,0.013355270482906788,0.3701409816072203,49,49,47.0,1.5613465154662087,1.2761492126571141,True,False,0.6938775510204082,0.627811960395491,0.7089889951900584,False,23
tool_by_Associated_Component_Theme,Keyfactor/signserver-ce,Associated Component Theme,CLI tooling,0.013355270482906788,0.3701409816072203,49,49,47.0,1.5613465154662087,1.2761492126571141,True,False,0.6938775510204082,0.627811960395491,0.7089889951900584,False,23
tool_by_Associated_Component_Theme,Keyfactor/signserver-ce,Associated Component Theme,Documentation/Help,0.01656815031878733,0.32807706197595754,49,49,47.0,1.5016081043834788,1.1448610601618652,True,False,0.7551020408163265,0.6950896076939329,0.24772797423098702,False,18
tool_by_Associated_Component_Theme,Keyfactor/signserver-ce,Associated Component Theme,Notification/Logging,-0.003752112998425737,0.8807968567745835,49,49,47.0,1.1384477177337002,0.6754923933615864,False,False,0.8571428571428571,0.8493976669107198,0.7854689706808251,False,8
tool_by_Associated_Component_Theme,Keyfactor/signserver-ce,Associated Component Theme,Policy/configuration,0.012069810830083839,0.5925788694961892,49,49,47.0,1.0088499138945592,0.7291161200055432,False,False,0.8163265306122449,0.8158866069121327,0.8129352748095667,False,10
tool_by_Associated_Component_Theme,Keyfactor/signserver-ce,Associated Component Theme,Signing workflow,0.01073096431760988,0.47961165126315364,49,49,47.0,1.6423052615617009,1.2921451562865949,True,False,0.7142857142857143,0.6397489296965988,0.5448534413235833,False,22
tool_by_Associated_Component_Theme,Keyfactor/signserver-ce,Associated Component Theme,Verification workflow,0.09016792269480088,0.3838886343841583,49,49,47.0,0.5793568469800494,0.14214370889147768,False,True,0.9795918367346939,0.9800534060100285,0.7804203055692078,False,1
tool_by_Associated_Component_Theme,Keyfactor/signserver-ce,Associated Component Theme,Web Client,0.005945898417400752,0.7371434291621397,49,49,47.0,1.075461467638394,0.9366017950789796,False,False,0.7346938775510204,0.721693625617275,0.8549475417189445,False,16
tool_by_Associated_Component_Theme,hashicorp/vault,Associated Component Theme,API,-0.022960021899392773,3.109668443661856e-38,49,49,47.0,1.884744856677445,2.023695615976388,True,False,0.0,3.69382166462697e-10,0.7438782481483812,False,1687
tool_by_Associated_Component_Theme,hashicorp/vault,Associated Component Theme,Authentication/Authorization tools,-0.02361435640785972,3.464381784561229e-26,49,49,47.0,1.7405707930923653,1.8357934999132275,True,False,0.0,6.169013638142446e-07,0.9337007175481291,False,1073
tool_by_Associated_Component_Theme,hashicorp/vault,Associated Component Theme,Build/CI,-0.024376335729781585,1.3336288981750549e-33,49,49,47.0,1.6681961630514879,1.7527525262510493,True,False,0.0,4.8998609500636314e-08,0.33676347763506226,False,1317
tool_by_Associated_Component_Theme,hashicorp/vault,Associated Component Theme,CLI tooling,-0.02311538778471014,2.5940758680705147e-39,49,49,47.0,1.8396479537264083,2.0121226688482783,True,False,0.0,2.898848452443335e-10,0.7383526938230545,False,1715
tool_by_Associated_Component_Theme,hashicorp/vault,Associated Component Theme,Documentation/Help,-0.026149546322951203,9.46066925124439e-31,49,49,47.0,1.7386513638691063,1.847729636768587,True,False,0.0,1.7088680426380688e-06,0.8149279541931537,False,1053
tool_by_Associated_Component_Theme,hashicorp/vault,Associated Component Theme,Key Management Core (secret engine),-0.021628407497160912,1.0529801567360841e-19,49,49,47.0,1.2555438987479473,1.2982548900652175,False,False,0.0,1.8462335271163056e-06,0.1740642320335924,False,932
tool_by_Associated_Component_Theme,hashicorp/vault,Associated Component Theme,Notification/Logging,-0.023878218771537136,1.6611228085202962e-24,49,49,47.0,1.4991107687063465,1.639650261806093,False,False,0.0,2.0090940220176014e-06,0.37438004995802177,False,979
tool_by_Associated_Component_Theme,hashicorp/vault,Associated Component Theme,Policy/configuration,-0.022525672969226116,2.2872695083556996e-31,49,49,47.0,1.7725641081273802,1.8610346295209557,True,False,0.0,6.860290229310088e-09,0.46548731775883045,False,1420
tool_by_Associated_Component_Theme,hashicorp/vault,Associated Component Theme,Signing workflow,-0.020655959307749633,3.338007765661184e-07,49,49,47.0,0.74044150991511,0.7511326048990654,False,True,0.0,0.00484200018267695,0.3125307852669414,False,321
tool_by_Associated_Component_Theme,hashicorp/vault,Associated Component Theme,Verification workflow,-0.021582515391344953,4.460791167422081e-05,49,49,47.0,1.3282098872972314,1.5625936569776517,False,False,0.061224489795918366,0.0363381566788841,0.6196339945750973,False,189
tool_by_Associated_Component_Theme,hashicorp/vault,Associated Component Theme,Web Client,-0.020370301005563744,2.0662637413677136e-23,49,49,47.0,1.8480737044712217,2.037116118596437,True,False,0.0,2.0022229017586478e-08,0.048607925512639386,True,1258
tool_by_Associated_Component_Theme,notaryproject/notation,Associated Component Theme,API,-0.02601344842316486,3.196162870425613e-07,49,49,47.0,3.8609447989814196,3.6397495333878997,True,False,0.14285714285714285,0.03294985015908394,0.0001618910825765747,True,209
tool_by_Associated_Component_Theme,notaryproject/notation,Associated Component Theme,Authentication/Authorization tools,-0.021080009457664077,0.042082805405551454,49,49,47.0,1.858905567998312,1.6728337194142384,True,False,0.46938775510204084,0.38359834735277426,0.003802516284756255,True,49
tool_by_Associated_Component_Theme,notaryproject/notation,Associated Component Theme,Build/CI,-0.026346440501636276,1.2782170500527046e-07,49,49,47.0,4.434171435744153,3.9583951941526414,True,False,0.12244897959183673,0.029616611629883896,7.513975780936536e-05,True,218
tool_by_Associated_Component_Theme,notaryproject/notation,Associated Component Theme,CLI tooling,-0.027908286675185707,1.992461871552151e-09,49,49,47.0,5.162982513193084,4.687657518075475,True,False,0.12244897959183673,0.020415063192314772,8.46216339095892e-05,True,253
tool_by_Associated_Component_Theme,notaryproject/notation,Associated Component Theme,Documentation/Help,-0.027908695104832626,1.9811898099217654e-06,49,49,47.0,3.136612069881231,3.3194053636710885,True,False,0.24489795918367346,0.0710506822188254,0.012408939241908782,True,159
tool_by_Associated_Component_Theme,notaryproject/notation,Associated Component Theme,Notification/Logging,-0.022810858714604854,0.0043697026701199045,49,49,47.0,2.4885847212343117,2.2180959799472575,True,False,0.32653061224489793,0.21002456889498006,6.536898997151939e-06,True,83
tool_by_Associated_Component_Theme,notaryproject/notation,Associated Component Theme,Policy/configuration,-0.025536351568634454,3.67170400006599e-05,49,49,47.0,3.4404540982486465,3.1413808357802275,True,False,0.24489795918367346,0.08612904192149365,0.00307280320698653,True,141
tool_by_Associated_Component_Theme,notaryproject/notation,Associated Component Theme,Signing workflow,-0.027114210463492355,0.0005300198684778989,49,49,47.0,1.90692599616132,2.1540820119197788,True,False,0.3469387755102041,0.199700946637881,0.0011975758609768668,True,89
tool_by_Associated_Component_Theme,notaryproject/notation,Associated Component Theme,Verification workflow,-0.023766236816228775,0.0005180685655205094,49,49,47.0,2.771326289270974,2.5479572963444275,True,False,0.2653061224489796,0.12642406864752087,0.0739430245744225,False,114
tool_by_Associated_Component_Theme,notaryproject/notation,Associated Component Theme,Web Client,-0.025552157059490252,0.0002824719140036037,49,49,47.0,1.8328957568892652,2.083439002874761,True,False,0.2653061224489796,0.14151307876687613,0.005875259577541183,True,109
tool_by_Associated_Component_Theme,openpubkey/openpubkey,Associated Component Theme,API,0.03895460865786552,1.0599021151189734e-05,49,49,47.0,6.0160632885202725,4.455833120276654,True,False,0.6938775510204082,0.2799448782558299,5.858873612647122e-05,True,76
tool_by_Associated_Component_Theme,openpubkey/openpubkey,Associated Component Theme,Authentication/Authorization tools,0.032025447898521194,0.00010105629259733491,49,49,47.0,6.792300623451283,4.673754986529072,True,False,0.673469387755102,0.23333711596727702,9.113415396343529e-06,True,83
tool_by_Associated_Component_Theme,openpubkey/openpubkey,Associated Component Theme,Build/CI,0.038763428400189266,4.978247909062245e-05,49,49,47.0,5.532851310674138,3.9022931969833525,True,False,0.7142857142857143,0.3269427666372167,5.9815262192474935e-06,True,65
