tool_family,avg_beta,min_beta,max_beta,n_themes,n_negative,n_positive,pattern
Sigstore,-0.038647907906612475,-0.05935680607880497,0.011416336299860996,10,9,1,mixed
Vault,-0.020029665336216137,-0.030059488807681854,0.008502769105144237,10,9,1,mixed
Notary,-0.02321883873428898,-0.06851001478193007,0.03114619562184159,10,9,1,mixed
Keyfactor,0.015277511293485778,-0.017017698568815263,0.06065705915746299,9,2,7,mixed
OpenPubKey,0.03748306831889824,0.015137055964454927,0.10174104866284678,10,0,10,all_positive_or_zero
