repo,1. Visibility of system status,2. Match between system and the real world,3. User control and freedom,4. Consistency and standards,5. Error prevention,6. Recognition rather than recall,7. Flexibility and efficiency of use,8. Aesthetic and minimalist design,"9. Help users recognize, diagnose, and recover from errors",10. Help and documentation
hashicorp/vault,7.33,6.23,2.47,12.47,11.37,1.92,20.29,1.34,15.89,20.68
sigstore/cosign,3.51,6.58,2.57,12.29,9.22,2.57,27.4,1.82,12.92,21.13
notaryproject/notation,8.5,5.66,1.59,12.74,8.5,4.78,26.9,2.83,10.27,18.23
Keyfactor/ejbca-ce,4.84,4.84,1.14,10.54,13.96,0.28,12.54,0.28,21.08,30.48
sigstore/rekor,4.61,7.2,0.29,12.68,8.93,2.02,32.28,1.15,10.95,19.88
sigstore/fulcio,4.11,5.14,0.68,11.99,11.99,2.4,33.9,2.4,6.51,20.89
openpubkey/openpubkey,0.61,4.24,3.03,9.7,17.58,1.82,38.79,3.64,6.06,14.55
Keyfactor/signserver-ce,2.22,0.0,0.0,6.67,11.11,0.0,15.56,2.22,24.44,37.78
