tool_family,avg_beta,min_beta,max_beta,n_themes,n_negative,n_positive,pattern
Sigstore,-0.04865268434593063,-0.07348232405973122,-0.030815140511911632,10,10,0,all_negative_or_zero
Vault,-0.025862460245678114,-0.031273441266395446,-0.0214986770972843,10,10,0,all_negative_or_zero
Notary,-0.030430353516276466,-0.057530224566440524,-0.01162490934554635,10,10,0,all_negative_or_zero
Keyfactor,0.006488364716724608,-0.02269759946139282,0.05595713393892761,10,4,6,mixed
OpenPubKey,0.043072244653654994,0.03003124797018038,0.0632666727481252,10,0,10,all_positive_or_zero
