tool,theme,beta,p_value,sig_0_05
sigstore/fulcio,Notification/Logging /Web UI Issues,-0.0172866650801989,0.4054291225577912,False
sigstore/rekor,Performance issue,-0.0632666727424222,0.0120777778903537,True
sigstore/rekor,Tedious Workflows,-0.0621015844685278,0.0098303478223422,True
sigstore/rekor,Security concerns,-0.0579847603526836,0.001709640009816,True
sigstore/rekor,Missing feature / enhancement request,-0.0575635680369793,1.0892164467261069e-13,True
sigstore/rekor,Unexpected behavior,-0.0555327839095098,0.0001351693696506,True
sigstore/rekor,Notification/Logging /Web UI Issues,-0.0495984089288996,0.014330681605926,True
sigstore/rekor,Build/CI/installation/distribution release issues,-0.0482596202454354,0.0248408467571998,True
sigstore/rekor,Integration failure/issues,-0.0441650313684688,0.0013027423637977,True
sigstore/rekor,User confusion / unclear documentation,-0.0298051672101738,0.0032685639851784,True
sigstore/rekor,Configuration friction,-0.0028580770591659,0.9148786083949748,False
