repo,month,month_start,usability_issue_count
Keyfactor/ejbca-ce,2022-12,2022-12-01,3
Keyfactor/signserver-ce,2022-12,2022-12-01,1
hashicorp/vault,2022-12,2022-12-01,48
notaryproject/notation,2022-12,2022-12-01,10
openpubkey/openpubkey,2022-12,2022-12-01,0
sigstore/cosign,2022-12,2022-12-01,19
sigstore/fulcio,2022-12,2022-12-01,2
sigstore/rekor,2022-12,2022-12-01,2
Keyfactor/ejbca-ce,2023-01,2023-01-01,5
Keyfactor/signserver-ce,2023-01,2023-01-01,0
hashicorp/vault,2023-01,2023-01-01,42
notaryproject/notation,2023-01,2023-01-01,7
openpubkey/openpubkey,2023-01,2023-01-01,0
sigstore/cosign,2023-01,2023-01-01,23
sigstore/fulcio,2023-01,2023-01-01,6
sigstore/rekor,2023-01,2023-01-01,5
Keyfactor/ejbca-ce,2023-02,2023-02-01,3
Keyfactor/signserver-ce,2023-02,2023-02-01,2
hashicorp/vault,2023-02,2023-02-01,36
notaryproject/notation,2023-02,2023-02-01,11
openpubkey/openpubkey,2023-02,2023-02-01,0
sigstore/cosign,2023-02,2023-02-01,14
sigstore/fulcio,2023-02,2023-02-01,1
sigstore/rekor,2023-02,2023-02-01,2
Keyfactor/ejbca-ce,2023-03,2023-03-01,4
Keyfactor/signserver-ce,2023-03,2023-03-01,0
hashicorp/vault,2023-03,2023-03-01,44
notaryproject/notation,2023-03,2023-03-01,12
openpubkey/openpubkey,2023-03,2023-03-01,0
sigstore/cosign,2023-03,2023-03-01,28
sigstore/fulcio,2023-03,2023-03-01,4
sigstore/rekor,2023-03,2023-03-01,5
Keyfactor/ejbca-ce,2023-04,2023-04-01,1
Keyfactor/signserver-ce,2023-04,2023-04-01,1
hashicorp/vault,2023-04,2023-04-01,33
notaryproject/notation,2023-04,2023-04-01,25
openpubkey/openpubkey,2023-04,2023-04-01,0
sigstore/cosign,2023-04,2023-04-01,19
sigstore/fulcio,2023-04,2023-04-01,3
sigstore/rekor,2023-04,2023-04-01,6
Keyfactor/ejbca-ce,2023-05,2023-05-01,1
Keyfactor/signserver-ce,2023-05,2023-05-01,0
hashicorp/vault,2023-05,2023-05-01,30
notaryproject/notation,2023-05,2023-05-01,12
openpubkey/openpubkey,2023-05,2023-05-01,0
sigstore/cosign,2023-05,2023-05-01,17
sigstore/fulcio,2023-05,2023-05-01,5
sigstore/rekor,2023-05,2023-05-01,3
Keyfactor/ejbca-ce,2023-06,2023-06-01,6
Keyfactor/signserver-ce,2023-06,2023-06-01,0
hashicorp/vault,2023-06,2023-06-01,33
notaryproject/notation,2023-06,2023-06-01,11
openpubkey/openpubkey,2023-06,2023-06-01,0
sigstore/cosign,2023-06,2023-06-01,13
sigstore/fulcio,2023-06,2023-06-01,1
sigstore/rekor,2023-06,2023-06-01,3
Keyfactor/ejbca-ce,2023-07,2023-07-01,5
Keyfactor/signserver-ce,2023-07,2023-07-01,1
hashicorp/vault,2023-07,2023-07-01,37
notaryproject/notation,2023-07,2023-07-01,2
openpubkey/openpubkey,2023-07,2023-07-01,0
sigstore/cosign,2023-07,2023-07-01,12
sigstore/fulcio,2023-07,2023-07-01,5
sigstore/rekor,2023-07,2023-07-01,6
Keyfactor/ejbca-ce,2023-08,2023-08-01,2
Keyfactor/signserver-ce,2023-08,2023-08-01,0
hashicorp/vault,2023-08,2023-08-01,36
notaryproject/notation,2023-08,2023-08-01,2
openpubkey/openpubkey,2023-08,2023-08-01,0
sigstore/cosign,2023-08,2023-08-01,10
sigstore/fulcio,2023-08,2023-08-01,3
sigstore/rekor,2023-08,2023-08-01,5
Keyfactor/ejbca-ce,2023-09,2023-09-01,3
Keyfactor/signserver-ce,2023-09,2023-09-01,0
hashicorp/vault,2023-09,2023-09-01,27
notaryproject/notation,2023-09,2023-09-01,7
openpubkey/openpubkey,2023-09,2023-09-01,10
sigstore/cosign,2023-09,2023-09-01,8
sigstore/fulcio,2023-09,2023-09-01,3
sigstore/rekor,2023-09,2023-09-01,2
Keyfactor/ejbca-ce,2023-10,2023-10-01,3
Keyfactor/signserver-ce,2023-10,2023-10-01,0
hashicorp/vault,2023-10,2023-10-01,19
notaryproject/notation,2023-10,2023-10-01,2
openpubkey/openpubkey,2023-10,2023-10-01,5
sigstore/cosign,2023-10,2023-10-01,9
sigstore/fulcio,2023-10,2023-10-01,2
sigstore/rekor,2023-10,2023-10-01,3
Keyfactor/ejbca-ce,2023-11,2023-11-01,7
Keyfactor/signserver-ce,2023-11,2023-11-01,3
hashicorp/vault,2023-11,2023-11-01,44
notaryproject/notation,2023-11,2023-11-01,7
openpubkey/openpubkey,2023-11,2023-11-01,5
sigstore/cosign,2023-11,2023-11-01,17
sigstore/fulcio,2023-11,2023-11-01,0
sigstore/rekor,2023-11,2023-11-01,5
Keyfactor/ejbca-ce,2023-12,2023-12-01,7
Keyfactor/signserver-ce,2023-12,2023-12-01,1
hashicorp/vault,2023-12,2023-12-01,30
notaryproject/notation,2023-12,2023-12-01,1
openpubkey/openpubkey,2023-12,2023-12-01,2
sigstore/cosign,2023-12,2023-12-01,14
sigstore/fulcio,2023-12,2023-12-01,1
sigstore/rekor,2023-12,2023-12-01,3
Keyfactor/ejbca-ce,2024-01,2024-01-01,2
Keyfactor/signserver-ce,2024-01,2024-01-01,0
hashicorp/vault,2024-01,2024-01-01,39
notaryproject/notation,2024-01,2024-01-01,3
openpubkey/openpubkey,2024-01,2024-01-01,5
sigstore/cosign,2024-01,2024-01-01,8
sigstore/fulcio,2024-01,2024-01-01,1
sigstore/rekor,2024-01,2024-01-01,2
Keyfactor/ejbca-ce,2024-02,2024-02-01,4
Keyfactor/signserver-ce,2024-02,2024-02-01,0
hashicorp/vault,2024-02,2024-02-01,25
notaryproject/notation,2024-02,2024-02-01,5
openpubkey/openpubkey,2024-02,2024-02-01,5
sigstore/cosign,2024-02,2024-02-01,9
sigstore/fulcio,2024-02,2024-02-01,2
sigstore/rekor,2024-02,2024-02-01,1
Keyfactor/ejbca-ce,2024-03,2024-03-01,2
Keyfactor/signserver-ce,2024-03,2024-03-01,0
hashicorp/vault,2024-03,2024-03-01,32
notaryproject/notation,2024-03,2024-03-01,5
openpubkey/openpubkey,2024-03,2024-03-01,10
sigstore/cosign,2024-03,2024-03-01,17
sigstore/fulcio,2024-03,2024-03-01,2
sigstore/rekor,2024-03,2024-03-01,3
Keyfactor/ejbca-ce,2024-04,2024-04-01,4
Keyfactor/signserver-ce,2024-04,2024-04-01,0
hashicorp/vault,2024-04,2024-04-01,35
notaryproject/notation,2024-04,2024-04-01,2
openpubkey/openpubkey,2024-04,2024-04-01,13
sigstore/cosign,2024-04,2024-04-01,10
sigstore/fulcio,2024-04,2024-04-01,1
sigstore/rekor,2024-04,2024-04-01,4
Keyfactor/ejbca-ce,2024-05,2024-05-01,0
Keyfactor/signserver-ce,2024-05,2024-05-01,1
hashicorp/vault,2024-05,2024-05-01,27
notaryproject/notation,2024-05,2024-05-01,1
openpubkey/openpubkey,2024-05,2024-05-01,1
sigstore/cosign,2024-05,2024-05-01,4
sigstore/fulcio,2024-05,2024-05-01,2
sigstore/rekor,2024-05,2024-05-01,0
Keyfactor/ejbca-ce,2024-06,2024-06-01,2
Keyfactor/signserver-ce,2024-06,2024-06-01,1
hashicorp/vault,2024-06,2024-06-01,21
notaryproject/notation,2024-06,2024-06-01,6
openpubkey/openpubkey,2024-06,2024-06-01,0
sigstore/cosign,2024-06,2024-06-01,7
sigstore/fulcio,2024-06,2024-06-01,2
sigstore/rekor,2024-06,2024-06-01,3
Keyfactor/ejbca-ce,2024-07,2024-07-01,2
Keyfactor/signserver-ce,2024-07,2024-07-01,1
hashicorp/vault,2024-07,2024-07-01,35
notaryproject/notation,2024-07,2024-07-01,3
openpubkey/openpubkey,2024-07,2024-07-01,0
sigstore/cosign,2024-07,2024-07-01,12
sigstore/fulcio,2024-07,2024-07-01,1
sigstore/rekor,2024-07,2024-07-01,1
Keyfactor/ejbca-ce,2024-08,2024-08-01,2
Keyfactor/signserver-ce,2024-08,2024-08-01,0
hashicorp/vault,2024-08,2024-08-01,17
notaryproject/notation,2024-08,2024-08-01,2
openpubkey/openpubkey,2024-08,2024-08-01,1
sigstore/cosign,2024-08,2024-08-01,7
sigstore/fulcio,2024-08,2024-08-01,4
sigstore/rekor,2024-08,2024-08-01,3
Keyfactor/ejbca-ce,2024-09,2024-09-01,2
Keyfactor/signserver-ce,2024-09,2024-09-01,0
hashicorp/vault,2024-09,2024-09-01,11
notaryproject/notation,2024-09,2024-09-01,3
openpubkey/openpubkey,2024-09,2024-09-01,1
sigstore/cosign,2024-09,2024-09-01,7
sigstore/fulcio,2024-09,2024-09-01,4
sigstore/rekor,2024-09,2024-09-01,1
Keyfactor/ejbca-ce,2024-10,2024-10-01,2
Keyfactor/signserver-ce,2024-10,2024-10-01,2
hashicorp/vault,2024-10,2024-10-01,19
notaryproject/notation,2024-10,2024-10-01,2
openpubkey/openpubkey,2024-10,2024-10-01,0
sigstore/cosign,2024-10,2024-10-01,4
sigstore/fulcio,2024-10,2024-10-01,2
