tool,theme,beta,p_value,sig_0_05
sigstore/rekor,API,-0.0608637997588987,3.3733239073904713e-12,True
sigstore/rekor,Notification/Logging,-0.0589296066356962,0.0165348302191398,True
sigstore/rekor,CLI tooling,-0.0533280685946625,4.9839213908114725e-06,True
sigstore/rekor,Authentication/Authorization tools,-0.0525129512550608,0.3665189134716404,False
sigstore/rekor,Build/CI/Installation,-0.0428523533640597,0.0583969633216671,False
sigstore/rekor,Key Management Core / Secrets Backend,-0.0398181686475282,0.4668113497005954,False
sigstore/rekor,Policy/configuration,-0.0342905831959755,0.05453766598368,False
sigstore/rekor,Core,-0.0311461956199263,0.0458551860387876,True
sigstore/rekor,Web Client,-0.0283743843428464,0.5882153248465476,False
sigstore/rekor,Signing workflow,-0.0256512382129702,0.485151177273047,False
