tool,Authentication friction,Build/CI/installation/distribution release issues,Configuration friction,Integration failure/issues,Missing feature / enhancement request,Notification/Logging /Web UI Issues,Performance issue,Security concerns,Tedious Workflows,Unexpected behavior,User confusion / unclear documentation
Keyfactor/ejbca-ce,0.1604019589579861,0.41621904719652,0.0626921751216227,0.4465922179475259,0.4710218184362573,0.3334542888487511,0.6915510274425536,0.4572563448788884,0.3686643244178842,0.1885258134568427,0.822969871802991
Keyfactor/signserver-ce,0.598508321542724,0.9244329767914748,0.4532564944083388,0.1815768491121058,0.3366918325992377,0.6555849229568708,0.4687362429722493,,0.4367936000680091,0.4139470665484638,0.9530847376998044
hashicorp/vault,8.314827782598637e-07,0.0135317164453177,6.728821517936812e-08,1.1662079173078113e-07,3.389414115763723e-15,5.790865869522702e-06,0.0271172942406584,0.0042607329232666,8.071184975315524e-06,1.7468915265878636e-10,1.1688746861643291e-22
notaryproject/notation,0.129351829532366,0.0427588763784338,0.0062471359304484,0.6671561668218899,1.68624429235859e-10,0.0363612083101571,0.5669114880034065,0.1323669299109691,0.0012886761301101,0.0738932866098845,0.1518434004781282
openpubkey/openpubkey,0.2941167620079149,0.0094193870834433,0.1717366390901459,0.0616245947394847,9.09330627424474e-05,0.117800561347789,0.3838886343841583,0.089382200800978,0.2745020673909518,0.0326200725057203,0.016952701781404
sigstore/cosign,0.0001382476460354,0.0088628233809486,0.0894762459125037,3.843602960005329e-10,6.269905062516687e-36,4.408133478984141e-07,0.6917989330114914,5.4081134542574944e-08,8.279745565238975e-07,5.491722190413901e-06,5.692889720290982e-09
sigstore/fulcio,0.1736837166516011,0.0047653560377816,0.0194901152743582,0.0380576236815431,6.815573207959297e-10,0.4054291225577912,0.1447892489689912,0.0013758494027117,0.0193896929099591,0.0967025276891119,3.986158782601396e-05
sigstore/rekor,,0.0248408467571998,0.9148786083949748,0.0013027423637977,1.0892164467261069e-13,0.014330681605926,0.0120777778903537,0.001709640009816,0.0098303478223422,0.0001351693696506,0.0032685639851784
