category,month,month_start,count,expected_count
User confusion / unclear documentation,2024-07,2024-07-01,18,15.03583643809428
User confusion / unclear documentation,2024-08,2024-08-01,13,14.635886384170206
User confusion / unclear documentation,2024-09,2024-09-01,15,14.246574916685432
User confusion / unclear documentation,2024-10,2024-10-01,7,13.86761905150152
User confusion / unclear documentation,2024-11,2024-11-01,14,13.498743331797993
User confusion / unclear documentation,2024-12,2024-12-01,13,13.13967962784724
User confusion / unclear documentation,2025-01,2025-01-01,16,12.790166942115428
User confusion / unclear documentation,2025-02,2025-02-01,15,12.449951219547657
User confusion / unclear documentation,2025-03,2025-03-01,15,12.118785162899512
User confusion / unclear documentation,2025-04,2025-04-01,14,11.796428052980707
User confusion / unclear documentation,2025-05,2025-05-01,6,11.482645573680268
User confusion / unclear documentation,2025-06,2025-06-01,9,11.177209641645973
User confusion / unclear documentation,2025-07,2025-07-01,11,10.879898240494313
User confusion / unclear documentation,2025-08,2025-08-01,7,10.590495259430384
User confusion / unclear documentation,2025-09,2025-09-01,5,10.308790336160499
User confusion / unclear documentation,2025-10,2025-10-01,13,10.03457870398329
User confusion / unclear documentation,2025-11,2025-11-01,2,9.767661042948122
Unexpected behavior,2021-11,2021-11-01,14,23.30340153404689
Unexpected behavior,2021-12,2021-12-01,24,22.800371267146453
Unexpected behavior,2022-01,2022-01-01,20,22.308199477239082
Unexpected behavior,2022-02,2022-02-01,32,21.82665177182326
Unexpected behavior,2022-03,2022-03-01,19,21.355498818024557
Unexpected behavior,2022-04,2022-04-01,27,20.89451623337794
Unexpected behavior,2022-05,2022-05-01,14,20.443484478967505
Unexpected behavior,2022-06,2022-06-01,13,20.002188754873096
Unexpected behavior,2022-07,2022-07-01,21,19.570418897873612
Unexpected behavior,2022-08,2022-08-01,16,19.147969281358716
Unexpected behavior,2022-09,2022-09-01,25,18.73463871740088
Unexpected behavior,2022-10,2022-10-01,10,18.330230360941474
Unexpected behavior,2022-11,2022-11-01,18,17.934551616044963
Unexpected behavior,2022-12,2022-12-01,19,17.54741404417684
Unexpected behavior,2023-01,2023-01-01,26,17.168633274461367
Unexpected behavior,2023-02,2023-02-01,12,16.79802891587663
Unexpected behavior,2023-03,2023-03-01,23,16.435424471344813
Unexpected behavior,2023-04,2023-04-01,21,16.080647253677103
Unexpected behavior,2023-05,2023-05-01,10,15.733528303332845
Unexpected behavior,2023-06,2023-06-01,17,15.393902307954104
Unexpected behavior,2023-07,2023-07-01,13,15.06160752363706
Unexpected behavior,2023-08,2023-08-01,9,14.73648569790293
Unexpected behavior,2023-09,2023-09-01,12,14.418381994331572
Unexpected behavior,2023-10,2023-10-01,13,14.10714491882204
Unexpected behavior,2023-11,2023-11-01,21,13.802626247444795
Unexpected behavior,2023-12,2023-12-01,13,13.504680955851418
Unexpected behavior,2024-01,2024-01-01,17,13.21316715020797
Unexpected behavior,2024-02,2024-02-01,12,12.92794599961936
Unexpected behavior,2024-03,2024-03-01,24,12.648881670012292
Unexpected behavior,2024-04,2024-04-01,18,12.375841259445526
Unexpected behavior,2024-05,2024-05-01,10,12.108694734816451
Unexpected behavior,2024-06,2024-06-01,17,11.847314869934
Unexpected behavior,2024-07,2024-07-01,19,11.591577184928251
Unexpected behavior,2024-08,2024-08-01,10,11.341359886968021
Unexpected behavior,2024-09,2024-09-01,6,11.096543812258053
Unexpected behavior,2024-10,2024-10-01,5,10.857012369288354
Unexpected behavior,2024-11,2024-11-01,4,10.622651483308452
Unexpected behavior,2024-12,2024-12-01,9,10.393349542000356
Unexpected behavior,2025-01,2025-01-01,11,10.168997342324115
Unexpected behavior,2025-02,2025-02-01,9,9.94948803851087
Unexpected behavior,2025-03,2025-03-01,10,9.734717091178453
Unexpected behavior,2025-04,2025-04-01,8,9.524582217545463
Unexpected behavior,2025-05,2025-05-01,9,9.31898334271995
Unexpected behavior,2025-06,2025-06-01,6,9.117822552039659
Unexpected behavior,2025-07,2025-07-01,10,8.921004044440998
Unexpected behavior,2025-08,2025-08-01,8,8.728434086834653
