source_col,n_labeled,unweighted_rate,stratified_rate,moe95_stratified,ci95_low,ci95_high,moe95_srs_obs_ref,moe95_srs_p05_ref,N_full,strata_covered,strata_full,label_source
human_phase2_analyst_a_bin_raw,100,0.87,0.47511111111111115,0.036330040435780836,0.43878107067533034,0.511441151546892,0.06507325853728765,0.09674783525521859,3900,21,71,analystA_only
human_phase2_analyst_a_bin,180,0.85,0.8334700854700854,0.05090617159234304,0.7825639138777424,0.8843762570624284,0.05095300048601484,0.07134847180203607,3900,62,71,analystA_or_humanfile
human_usability_type_bin,83,0.8192771084337349,0.3678461538461538,0.037581077776581394,0.33026507606957245,0.4054272316227352,0.08190746427132435,0.1064318207768765,3900,44,71,humanfile_only
