tool,beta,se,p_value,rr_per_month,rr_ci_low,rr_ci_high,pct_change_per_month,pct_ci_low,pct_ci_high,n_months,total_count,n_obs,df_resid,pearson_chi2,deviance,dispersion_pearson,dispersion_deviance,overdispersed_1_5,underdispersed_0_8,zero_frac_obs,zero_frac_pred_poisson,ljungbox_p_lag1,autocorr_sig_0_05,poisson_robust_se,poisson_robust_p_value,poisson_robust_rr_per_month,poisson_robust_sig_0_05,nb_beta,nb_se,nb_p_value,nb_rr_per_month,nb_alpha,nb_converged,nb_fit_error,nb_sig_0_05,sig_0_05
sigstore/rekor,-0.054188941145296696,0.005495183582977112,6.133032964341953e-23,0.947253114504514,0.9371054144711389,0.9575107016587797,-5.274688549548601,-6.2894585528861064,-4.248929834122029,49,228,49,47.0,44.769150603293,50.33352391256545,0.952535119219,1.0709260406928818,False,False,0.10204081632653061,0.09237592910423852,0.9305068709516175,False,0.004988957105897841,1.753036283339137e-27,0.947253114504514,True,-0.05436780045079582,0.00567037637346696,8.9773387011931e-22,0.9470837046210405,0.008742484165539586,True,,True,True
sigstore/fulcio,-0.05126199145368272,0.0059590563254719965,7.808839625074542e-18,0.9500297382526193,0.9389981763907789,0.9611909013854434,-4.997026174738073,-6.100182360922113,-3.8809098614556614,49,188,49,47.0,71.64689803157724,72.5456735819228,1.524402085778239,1.5435249698281446,True,False,0.12244897959183673,0.11288103601382976,0.1959000760008728,False,0.008218121720995702,4.441155687041165e-10,0.9500297382526193,True,-0.04925453005551908,0.0068975699740140275,9.275381635319178e-13,0.9519388018238705,0.10123956804134772,True,,True,True
sigstore/cosign,-0.0348130620249599,0.0029402986586456064,2.425258223777205e-32,0.9657859414517508,0.9602361382769506,0.971367820398386,-3.4214058548249215,-3.9763861723049354,-2.8632179601614016,49,665,49,47.0,118.51374464370227,99.04906253347089,2.5215690349723885,2.107426862414274,True,False,0.0,0.0005717842091080933,0.19774436659452901,False,0.005539367629631297,3.2856440250389847e-10,0.9657859414517508,True,-0.03346449106626691,0.004043496522701639,1.2724619785341212e-16,0.9670892509298415,0.07377982342514244,True,,True,True
notaryproject/notation,-0.028137974889266296,0.004532302345575996,5.355464814589982e-10,0.9722542108793008,0.9636556213245868,0.9809295246710702,-2.774578912069925,-3.634437867541318,-1.9070475328929803,49,267,49,47.0,239.98086377288578,224.68314476361905,5.105975824955016,4.780492441779129,True,False,0.12244897959183673,0.01737055808408988,8.699129558134981e-05,True,0.008828526480282163,0.0014367454516275439,0.9722542108793008,True,-0.04076664899395603,0.011456247477133254,0.0003730293151875766,0.9600531331755754,0.6691951905592332,True,,True,True
hashicorp/vault,-0.022541481508468474,0.0017202540491145324,3.140978924697703e-39,0.9777106794383149,0.9744196855945274,0.9810127882468758,-2.228932056168509,-2.5580314405472593,-1.8987211753124233,49,1794,49,47.0,93.40818819135839,101.70307906911988,1.9874082593906042,2.1638952993429763,True,False,0.0,8.449065204280361e-11,0.7752798061374007,False,0.002659206496792535,2.3153228778894368e-17,0.9777106794383149,True,-0.023873866520439126,0.0025113085257338534,1.971008730690454e-21,0.9764088598380374,0.027132127084001107,True,,True,True
Keyfactor/ejbca-ce,-0.001101748450402489,0.005315326074636757,0.8357930053989595,0.9988988582515901,0.9885463111382075,1.009359822371366,-0.11011417484099173,-1.1453688861792544,0.9359822371366011,49,177,49,47.0,67.35724011457405,67.73108535054125,1.4331327683951927,1.4410869223519416,False,False,0.04081632653061224,0.027033940090128376,0.37778426952467714,False,0.005376334520603292,0.837630272197339,0.9988988582515901,False,-0.0011402180034671301,0.006264880543645035,0.8555815052400277,0.9988604317980853,0.0946882469240084,True,,False,False
Keyfactor/signserver-ce,0.013355270482906788,0.01490195455384627,0.3701409816072203,1.0134448504517588,0.9842724300489617,1.0434818994738042,1.3444850451758805,-1.57275699510383,4.348189947380421,49,23,49,47.0,73.3832862269118,59.979012994884364,1.5613465154662087,1.2761492126571141,True,False,0.6938775510204082,0.627811960395491,0.7089889951900584,False,0.013717772846851726,0.330267974298883,1.0134448504517588,False,0.01647197185540103,0.021012219809039927,0.43308502873890387,1.0166083827399879,1.2653475902613789,True,,False,False
openpubkey/openpubkey,0.036968294327722966,0.007324595430043044,4.484612780382871e-07,1.037660120604879,1.0228696784242424,1.0526644289157892,3.7660120604879,2.286967842424237,5.266442891578915,49,109,49,47.0,402.95685015769567,286.9792469043269,8.573550003355226,6.105941423496317,True,False,0.6530612244897959,0.17470200022595392,5.3392236716123563e-05,True,0.013260249297139695,0.005305035720333759,1.037660120604879,True,0.11229875539508631,0.045357989625951466,0.013292616578131506,1.1188470723179207,4.89563247085243,True,,True,True
