repo,month,month_start,usability_issue_count
sigstore/rekor,2022-12,2022-12-01,3
Keyfactor/ejbca-ce,2023-01,2023-01-01,6
Keyfactor/signserver-ce,2023-01,2023-01-01,0
hashicorp/vault,2023-01,2023-01-01,49
notaryproject/notation,2023-01,2023-01-01,9
openpubkey/openpubkey,2023-01,2023-01-01,0
sigstore/cosign,2023-01,2023-01-01,19
sigstore/fulcio,2023-01,2023-01-01,7
sigstore/rekor,2023-01,2023-01-01,6
Keyfactor/ejbca-ce,2023-02,2023-02-01,3
Keyfactor/signserver-ce,2023-02,2023-02-01,2
hashicorp/vault,2023-02,2023-02-01,46
notaryproject/notation,2023-02,2023-02-01,12
openpubkey/openpubkey,2023-02,2023-02-01,0
sigstore/cosign,2023-02,2023-02-01,10
sigstore/fulcio,2023-02,2023-02-01,2
sigstore/rekor,2023-02,2023-02-01,2
Keyfactor/ejbca-ce,2023-03,2023-03-01,5
Keyfactor/signserver-ce,2023-03,2023-03-01,0
hashicorp/vault,2023-03,2023-03-01,47
notaryproject/notation,2023-03,2023-03-01,13
openpubkey/openpubkey,2023-03,2023-03-01,0
sigstore/cosign,2023-03,2023-03-01,24
sigstore/fulcio,2023-03,2023-03-01,6
sigstore/rekor,2023-03,2023-03-01,6
Keyfactor/ejbca-ce,2023-04,2023-04-01,1
Keyfactor/signserver-ce,2023-04,2023-04-01,1
hashicorp/vault,2023-04,2023-04-01,38
notaryproject/notation,2023-04,2023-04-01,28
openpubkey/openpubkey,2023-04,2023-04-01,0
sigstore/cosign,2023-04,2023-04-01,17
sigstore/fulcio,2023-04,2023-04-01,4
sigstore/rekor,2023-04,2023-04-01,6
Keyfactor/ejbca-ce,2023-05,2023-05-01,2
Keyfactor/signserver-ce,2023-05,2023-05-01,0
hashicorp/vault,2023-05,2023-05-01,36
notaryproject/notation,2023-05,2023-05-01,15
openpubkey/openpubkey,2023-05,2023-05-01,0
sigstore/cosign,2023-05,2023-05-01,13
sigstore/fulcio,2023-05,2023-05-01,5
sigstore/rekor,2023-05,2023-05-01,4
Keyfactor/ejbca-ce,2023-06,2023-06-01,6
Keyfactor/signserver-ce,2023-06,2023-06-01,0
hashicorp/vault,2023-06,2023-06-01,44
notaryproject/notation,2023-06,2023-06-01,13
openpubkey/openpubkey,2023-06,2023-06-01,0
sigstore/cosign,2023-06,2023-06-01,14
sigstore/fulcio,2023-06,2023-06-01,1
sigstore/rekor,2023-06,2023-06-01,3
Keyfactor/ejbca-ce,2023-07,2023-07-01,5
Keyfactor/signserver-ce,2023-07,2023-07-01,1
hashicorp/vault,2023-07,2023-07-01,50
notaryproject/notation,2023-07,2023-07-01,3
openpubkey/openpubkey,2023-07,2023-07-01,0
sigstore/cosign,2023-07,2023-07-01,10
sigstore/fulcio,2023-07,2023-07-01,5
sigstore/rekor,2023-07,2023-07-01,6
Keyfactor/ejbca-ce,2023-08,2023-08-01,2
Keyfactor/signserver-ce,2023-08,2023-08-01,0
hashicorp/vault,2023-08,2023-08-01,38
notaryproject/notation,2023-08,2023-08-01,2
openpubkey/openpubkey,2023-08,2023-08-01,0
sigstore/cosign,2023-08,2023-08-01,10
sigstore/fulcio,2023-08,2023-08-01,5
sigstore/rekor,2023-08,2023-08-01,4
Keyfactor/ejbca-ce,2023-09,2023-09-01,4
Keyfactor/signserver-ce,2023-09,2023-09-01,0
hashicorp/vault,2023-09,2023-09-01,40
notaryproject/notation,2023-09,2023-09-01,7
openpubkey/openpubkey,2023-09,2023-09-01,8
sigstore/cosign,2023-09,2023-09-01,8
sigstore/fulcio,2023-09,2023-09-01,3
sigstore/rekor,2023-09,2023-09-01,3
Keyfactor/ejbca-ce,2023-10,2023-10-01,2
Keyfactor/signserver-ce,2023-10,2023-10-01,0
hashicorp/vault,2023-10,2023-10-01,31
notaryproject/notation,2023-10,2023-10-01,3
openpubkey/openpubkey,2023-10,2023-10-01,4
sigstore/cosign,2023-10,2023-10-01,7
sigstore/fulcio,2023-10,2023-10-01,2
sigstore/rekor,2023-10,2023-10-01,3
