tool,beta,p_value,rr_per_month,nb_beta,nb_se,nb_p_value,nb_rr_per_month,nb_alpha,nb_converged,nb_sig_0_05,nb_fit_error
sigstore/rekor,-0.054188941145296696,6.133032964341953e-23,0.947253114504514,-0.05436780045079582,0.00567037637346696,8.9773387011931e-22,0.9470837046210405,0.008742484165539586,True,True,
sigstore/fulcio,-0.05126199145368272,7.808839625074542e-18,0.9500297382526193,-0.04925453005551908,0.0068975699740140275,9.275381635319178e-13,0.9519388018238705,0.10123956804134772,True,True,
sigstore/cosign,-0.0348130620249599,2.425258223777205e-32,0.9657859414517508,-0.03346449106626691,0.004043496522701639,1.2724619785341212e-16,0.9670892509298415,0.07377982342514244,True,True,
notaryproject/notation,-0.028137974889266296,5.355464814589982e-10,0.9722542108793008,-0.04076664899395603,0.011456247477133254,0.0003730293151875766,0.9600531331755754,0.6691951905592332,True,True,
hashicorp/vault,-0.022541481508468474,3.140978924697703e-39,0.9777106794383149,-0.023873866520439126,0.0025113085257338534,1.971008730690454e-21,0.9764088598380374,0.027132127084001107,True,True,
Keyfactor/ejbca-ce,-0.001101748450402489,0.8357930053989595,0.9988988582515901,-0.0011402180034671301,0.006264880543645035,0.8555815052400277,0.9988604317980853,0.0946882469240084,True,False,
Keyfactor/signserver-ce,0.013355270482906788,0.3701409816072203,1.0134448504517588,0.01647197185540103,0.021012219809039927,0.43308502873890387,1.0166083827399879,1.2653475902613789,True,False,
openpubkey/openpubkey,0.036968294327722966,4.484612780382871e-07,1.037660120604879,0.11229875539508631,0.045357989625951466,0.013292616578131506,1.1188470723179207,4.89563247085243,True,True,
