label_source,N_full,n_labeled,unweighted_rate,stratified_rate,moe95_stratified,ci95_low,ci95_high,moe95_srs_obs_ref,moe95_srs_p05_ref,n_strata_covered,n_strata_full
y_A,3900,99,0.8787878787878788,0.47925925925925933,0.03597863894125064,0.4432806203180087,0.5152378982005099,0.06347838163542498,0.09724802624395816,21,71
y_B,3900,99,0.8686868686868687,0.4744444444444445,0.03806021025953253,0.43638423418491196,0.512504654703977,0.06568958201448981,0.09724802624395816,20,71
y_A_or_file,3900,179,0.8547486033519553,0.8376182336182335,0.05057626562196138,0.7870419679962721,0.8881944992401949,0.05042688386337588,0.07155710758792351,62,71
