repo,issue_number,issue_author,issue_text_words,issue_text_chars,comment_count,unique_commenters,comment_text_words,comment_text_chars,comment_authors_joined,unique_thread_participants,total_text_words,total_text_chars
hashicorp/vault,25325,mju,544,3494,10,2,2017,15249,mju|stevendpclark,2,2561,18743
hashicorp/vault,25315,Warren-Overholt-NIH,140,882,0,0,0,0,,1,140,882
hashicorp/vault,25284,foto-andreas,296,2600,2,1,63,471,foto-andreas,1,359,3071
hashicorp/vault,25278,kevinschoonover,115,722,0,0,0,0,,1,115,722
hashicorp/vault,25274,Dvergatal,47,281,1,1,55,336,stevendpclark,2,102,617
hashicorp/vault,25249,tisonv,433,3020,17,3,896,7248,raymonstah|tisonv|tlskinneriv,3,1329,10268
hashicorp/vault,25246,chuckyz,133,797,0,0,0,0,,1,133,797
hashicorp/vault,25214,diegoballen,298,1908,1,1,136,852,hghaf099,2,434,2760
hashicorp/vault,25213,sanjan,32,245,3,3,182,1075,hghaf099|raskchanky|sanjan,3,214,1320
hashicorp/vault,25206,nfi-hashicorp,69,413,0,0,0,0,,1,69,413
hashicorp/vault,25190,subin-seb,349,2243,3,2,216,1345,ccapurso|subin-seb,2,565,3588
hashicorp/vault,25164,lboynton,130,881,1,1,38,246,hghaf099,2,168,1127
hashicorp/vault,25153,gilfordgo,504,3440,0,0,0,0,,1,504,3440
hashicorp/vault,25142,Joffrey54,153,910,0,0,0,0,,1,153,910
hashicorp/vault,25141,SchulzeStTSI,204,1424,4,4,505,2798,Cajga|mju|solutiongeek|stevendpclark,5,709,4222
hashicorp/vault,25140,fruechel-canva,491,3427,0,0,0,0,,1,491,3427
hashicorp/vault,25131,jsermersheim-hv,41,240,2,2,96,492,hghaf099|jsermersheim-hv,2,137,732
hashicorp/vault,25116,fvogl,223,1653,1,1,43,209,miagilepner,2,266,1862
hashicorp/vault,25114,michael-diggin,319,1895,1,1,11,55,jahantech,2,330,1950
hashicorp/vault,25113,dispancergit,1601,17863,2,2,61,393,celesteking|stevendpclark,3,1662,18256
hashicorp/vault,25112,mr-miles,432,2759,10,4,1156,9234,apenadiazApk|divyaac|hghaf099|mr-miles,4,1588,11993
hashicorp/vault,25066,aubrich,89,645,0,0,0,0,,1,89,645
hashicorp/vault,25029,somerandow,652,4575,1,1,53,256,Monkeychip,2,705,4831
hashicorp/vault,25027,imdmahajankanika,265,1740,2,2,136,779,Monkeychip|imdmahajankanika,2,401,2519
hashicorp/vault,25025,tommad-securosys,240,1689,0,0,0,0,,1,240,1689
hashicorp/vault,25024,ptrovatelli,686,5395,7,5,798,4744,Aladex|heatherezell|phmcder|ptrovatelli|tahoward,5,1484,10139
hashicorp/vault,25023,NathanPB,435,2970,1,1,15,84,NathanPB,1,450,3054
hashicorp/vault,24997,celesteking,57,331,0,0,0,0,,1,57,331
hashicorp/vault,24995,framsouza,401,3547,1,1,36,208,biazmoreira,2,437,3755
hashicorp/vault,24994,Peter-FNet,86,640,0,0,0,0,,1,86,640
hashicorp/vault,24993,dtrts,438,3160,0,0,0,0,,1,438,3160
hashicorp/vault,24988,indjb,101,729,0,0,0,0,,1,101,729
hashicorp/vault,24975,alexdawn,505,3706,0,0,0,0,,1,505,3706
hashicorp/vault,24973,mr-miles,166,1035,0,0,0,0,,1,166,1035
hashicorp/vault,24971,jannickk,132,817,2,2,81,483,sgmiller|stevendpclark,3,213,1300
hashicorp/vault,24970,mohsen-abbas,1699,14446,7,5,1231,9020,AGCunningham-sky|Stikic991|adiii717|deadlysyn|ebuildy,6,2930,23466
hashicorp/vault,24964,chaimleib,471,2997,0,0,0,0,,1,471,2997
hashicorp/vault,24956,madjam002,218,1624,0,0,0,0,,1,218,1624
hashicorp/vault,24945,axolotlgeoff,310,2060,0,0,0,0,,1,310,2060
hashicorp/vault,24924,mr-miles,379,2329,0,0,0,0,,1,379,2329
hashicorp/vault,24900,bovy89,174,1183,4,2,192,1104,VioletHynes|bovy89,2,366,2287
hashicorp/vault,24877,alexdawn,2164,18774,0,0,0,0,,1,2164,18774
hashicorp/vault,24876,F0otsh0T,279,1881,1,1,16,89,VioletHynes,2,295,1970
hashicorp/vault,24866,ptrovatelli,730,6585,6,3,584,3510,Garagoth|hashishaw|xueshanf,4,1314,10095
hashicorp/vault,24854,starcraft66,247,1749,1,1,6,44,austingebauer,2,253,1793
hashicorp/vault,24853,cgaspar-deshaw,153,1040,1,1,27,145,dnlopes,2,180,1185
hashicorp/vault,24839,chichi13,193,1115,9,2,1649,9189,Monkeychip|chichi13,2,1842,10304
hashicorp/vault,24837,GiamBoscaro,510,4332,2,2,51,274,GiamBoscaro|berrykot,2,561,4606
hashicorp/vault,24836,dyasny,575,4440,0,0,0,0,,1,575,4440
hashicorp/vault,24817,mvkonovalov,402,2819,0,0,0,0,,1,402,2819
hashicorp/vault,24809,ethan256,568,4003,1,1,52,296,ethan256,1,620,4299
hashicorp/vault,24741,cascadia-sati,427,3761,2,1,178,1009,cascadia-sati,1,605,4770
hashicorp/vault,24726,reneeckstein,429,2713,6,6,803,4587,TinLe|eduardocalazansjr|fifa451|heliobmartins|ivankatliarchuk|mrocheleau,7,1232,7300
hashicorp/vault,24725,jyoung15,280,2060,0,0,0,0,,1,280,2060
hashicorp/vault,24724,MrWazaby,229,1463,2,2,33,199,MrWazaby|tkuehne-deliveryhero,2,262,1662
hashicorp/vault,24707,kgadams,158,993,0,0,0,0,,1,158,993
hashicorp/vault,24702,tearfulDalvik,43,314,0,0,0,0,,1,43,314
hashicorp/vault,24698,wiwwo,90,519,0,0,0,0,,1,90,519
hashicorp/vault,24682,Lucaber,63,404,0,0,0,0,,1,63,404
hashicorp/vault,24677,DrDaveD,275,1755,2,1,21,99,ruspaul013,2,296,1854
hashicorp/vault,24670,pieter-lautus,457,2692,1,1,216,1263,pieter-lautus,1,673,3955
hashicorp/vault,24662,nakkalar,63,380,1,1,33,203,VioletHynes,2,96,583
hashicorp/vault,24657,pieter-lautus,465,2882,1,1,77,425,pieter-lautus,1,542,3307
hashicorp/vault,24656,harbinha,271,1889,1,1,69,388,VioletHynes,2,340,2277
hashicorp/vault,24654,shahab-github,67,364,0,0,0,0,,1,67,364
hashicorp/vault,24652,ninjadude333,412,2859,0,0,0,0,,1,412,2859
hashicorp/vault,24650,http403,518,3597,0,0,0,0,,1,518,3597
hashicorp/vault,24648,dave92082,1045,8184,0,0,0,0,,1,1045,8184
hashicorp/vault,24647,imdmahajankanika,26,155,3,2,71,446,imdmahajankanika|rowansmithhc,2,97,601
hashicorp/vault,24640,ebuildy,107,777,0,0,0,0,,1,107,777
hashicorp/vault,24636,Hansanto,549,4139,2,1,196,1594,Hansanto,1,745,5733
hashicorp/vault,24635,MikeSchouw,1088,8512,2,2,44,220,MikeSchouw|carlosaml,2,1132,8732
hashicorp/vault,24634,alexdawn,468,3454,1,1,120,752,rob518183,2,588,4206
hashicorp/vault,24618,rforberger,419,3315,0,0,0,0,,1,419,3315
hashicorp/vault,24617,MorganReid,480,3928,0,0,0,0,,1,480,3928
hashicorp/vault,24604,charles-horel,786,6907,0,0,0,0,,1,786,6907
hashicorp/vault,24596,nicolaka,230,1872,1,1,38,393,nicolaka,1,268,2265
hashicorp/vault,24592,awatterson22,158,1149,2,1,64,393,marcboudreau,2,222,1542
hashicorp/vault,24585,mirwasim,345,2980,1,1,8,39,DasLampe,2,353,3019
hashicorp/vault,24581,GaoJianAllen,138,863,1,1,40,200,ramizpolic,2,178,1063
hashicorp/vault,24566,z15alall,196,1267,0,0,0,0,,1,196,1267
hashicorp/vault,24565,cd-jbo,356,2101,1,1,96,518,marcboudreau,2,452,2619
hashicorp/vault,24562,cognifloyd,426,2348,1,1,26,160,cognifloyd,1,452,2508
hashicorp/vault,24556,ypereirareis,591,4519,2,2,87,487,hashishaw|ypereirareis,2,678,5006
