tool_family,avg_beta,min_beta,max_beta,n_themes,n_negative,n_positive,pattern
Sigstore,-0.04377727946863254,-0.04879704313927718,-0.02806226610057506,11,11,0,all_negative_or_zero
Vault,-0.02205194681000183,-0.025345074379558404,-0.01521994524617759,11,11,0,all_negative_or_zero
Notary,-0.021497999289212453,-0.027636687260059814,-0.011014667909573613,11,11,0,all_negative_or_zero
Keyfactor,0.0038587509760424233,-0.014161487516356588,0.015293038084337941,11,2,9,mixed
OpenPubKey,0.031677404673455846,0.012578967399894843,0.03989912195877805,11,0,11,all_positive_or_zero
