phase,phase12_subset,metric,n,agreement_pct,error_rate_pct,precision_pct,recall_pct,specificity_pct,f1_pct,tp,fp,fn,tn,cohen_kappa,gwet_ac1
Phase 1,all,Associated Component (full),159,9.43,90.57,,,,,0,0,0,0,,
Phase 1,all,Associated Component (partial overlap),159,56.6,43.4,,,,,0,0,0,0,,
Phase 1,first_100,Associated Component (full),100,10.0,90.0,,,,,0,0,0,0,,
Phase 1,first_100,Associated Component (partial overlap),100,52.0,48.0,,,,,0,0,0,0,,
Phase 1,last_60,Associated Component (full),59,8.47,91.53,,,,,0,0,0,0,,
Phase 1,last_60,Associated Component (partial overlap),59,64.41,35.59,,,,,0,0,0,0,,
Phase 1,all,codes_primary (semantic agreement),159,92.45,7.55,,,,,0,0,0,0,,
Phase 1,first_100,codes_primary (semantic agreement),100,91.0,9.0,,,,,0,0,0,0,,
Phase 1,last_60,codes_primary (semantic agreement),59,94.92,5.08,,,,,0,0,0,0,,
Phase 2,all,Usability_Non-Usability Type,159,87.42,12.58,96.06,89.05,77.27,92.42,122,5,15,17,0.5569796600724436,0.8248223434143117
Phase 2,first_100,Usability_Non-Usability Type,100,83.0,17.0,94.81,84.88,71.43,89.57,73,4,13,10,0.4437172774869108,0.7566039086548785
Phase 2,last_60,Usability_Non-Usability Type,59,94.92,5.08,98.0,96.08,87.5,97.03,49,1,2,7,0.7939464493597207,0.932507149666349
Phase 3,phase3_sample,Associated Component Theme (full),18,5.56,94.44,,,,,0,0,0,0,0.29341581970835146,0.7678262447818984
Phase 3,phase3_sample,Associated Component Theme (partial overlap),18,72.22,27.78,,,,,0,0,0,0,0.29341581970835146,0.7678262447818984
Phase 3,phase3_sample,L1_Theme (full),17,17.65,82.35,,,,,0,0,0,0,0.3710000000000003,0.8684272453915545
Phase 3,phase3_sample,L1_Theme (partial overlap),17,64.71,35.29,,,,,0,0,0,0,0.3710000000000003,0.8684272453915545
Phase 3,phase3_sample,L1_Theme Secondary (full),17,17.65,82.35,,,,,0,0,0,0,0.3030303030303029,0.37251755265797387
Phase 3,phase3_sample,L1_Theme Secondary (partial overlap),17,58.82,41.18,,,,,0,0,0,0,0.3030303030303029,0.37251755265797387
Phase 3,phase3_sample,Nielsen_theme (full),17,17.65,82.35,,,,,0,0,0,0,0.3623055809698076,0.7654693377236729
Phase 3,phase3_sample,Nielsen_theme (partial overlap),17,88.24,11.76,,,,,0,0,0,0,0.3623055809698076,0.7654693377236729
