tool,beta,se,p_value,poisson_robust_se,poisson_robust_p_value,rr_per_month,poisson_robust_rr_per_month,sig_0_05,poisson_robust_sig_0_05
sigstore/rekor,-0.0504979070786441,0.0059675118072739205,2.6252011540307025e-17,0.005591090822617274,1.6878997946066636e-19,0.9507559185276108,0.9507559185276108,True,True
sigstore/fulcio,-0.04787280499761599,0.006602221885218889,4.136621423894332e-13,0.007225689756443294,3.46399949098185e-11,0.9532550286423215,0.9532550286423215,True,True
sigstore/cosign,-0.038190176085614966,0.0028722036252219023,2.426492346221237e-40,0.004780072448235914,1.3553604450767143e-15,0.9625298733206187,0.9625298733206187,True,True
notaryproject/notation,-0.032202232799071376,0.004749076547427552,1.1956545258589276e-11,0.008829207858095248,0.00026507316182957687,0.9683107380858916,0.9683107380858916,True,True
hashicorp/vault,-0.024993221017390956,0.0019597772295524133,2.9961784587362945e-37,0.0032327645097989075,1.065188403145555e-14,0.9753165236596748,0.9753165236596748,True,True
Keyfactor/ejbca-ce,-6.849316356496287e-05,0.0058520572758608645,0.9906616788815522,0.00594450682631952,0.9908069028856642,0.9999315091820382,0.9999315091820382,False,False
Keyfactor/signserver-ce,0.012578967380253943,0.015218678514046052,0.4084933349830048,0.014130462166625245,0.37335736641922623,1.0126584153654794,1.0126584153654794,False,False
openpubkey/openpubkey,0.04038094964289441,0.007917302600824539,3.3904060470130693e-07,0.015026988827819531,0.007204769023532824,1.0412073462173272,1.0412073462173272,True,True
