model_set,n_models,median_dispersion_pearson,p90_dispersion_pearson,n_overdispersed_1_5,n_underdispersed_0_8,n_autocorr_sig_0_05,pct_overdispersed_1_5
aggregate_by_component_theme,12,1.6141913216505848,2.11413610672415,8,0,0,66.66666666666666
aggregate_by_l1_theme,11,1.658250631186202,2.0612083001538486,6,0,0,54.54545454545454
overall_usability_by_tool,8,1.8727901126258377,5.300085497777061,5,0,2,62.5
tool_by_Associated_Component_Theme,90,1.1656755236378877,2.1428846319417922,22,5,10,24.444444444444443
tool_by_L1_Theme,86,1.1721970326323103,1.855539575308367,22,8,9,25.581395348837212
tool_by_L1_Theme_Secondary,32,1.4977564354176702,2.9942860149618213,16,2,6,50.0
tool_by_Nielsen_theme,77,1.273972514051267,2.2372889825473328,22,11,10,28.57142857142857
