category,month_start,expected_count
CLI tooling,2022-09-01,31.760965343477174
Core,2022-09-01,33.32098931536582
Key Management Core / Secrets Backend,2022-09-01,15.202736977477148
Notification/Logging,2022-09-01,6.730692056932818
Policy/configuration,2022-09-01,23.86990587530814
Release pipeline,2022-09-01,3.008032008040283
Signing workflow,2022-09-01,11.1122013655648
Verification workflow,2022-09-01,11.420785370696022
Web Client,2022-09-01,9.272441119670605
API,2022-10-01,18.119006078183556
Authentication/Authorization tools,2022-10-01,13.101219542931773
Build/CI/Installation,2022-10-01,8.813584433336828
CLI tooling,2022-10-01,30.798142529278618
Core,2022-10-01,32.2986957799892
Key Management Core / Secrets Backend,2022-10-01,14.840672441027166
Notification/Logging,2022-10-01,6.583482584046015
Policy/configuration,2022-10-01,23.18909483981812
Release pipeline,2022-10-01,2.9511956809301374
Signing workflow,2022-10-01,10.834518543597412
Verification workflow,2022-10-01,11.04172924418142
Web Client,2022-10-01,9.124045483124876
API,2022-11-01,17.57341824021636
Authentication/Authorization tools,2022-11-01,12.78291245539995
Build/CI/Installation,2022-11-01,8.620700793491421
CLI tooling,2022-11-01,29.86450735977271
Core,2022-11-01,31.307766381570868
Key Management Core / Secrets Backend,2022-11-01,14.48723074194844
Notification/Logging,2022-11-01,6.439492784370275
Policy/configuration,2022-11-01,22.52770171357609
Release pipeline,2022-11-01,2.895433267950804
Signing workflow,2022-11-01,10.563774738219008
Verification workflow,2022-11-01,10.675253999137274
Web Client,2022-11-01,8.978024762166273
API,2022-12-01,17.04425879173439
Authentication/Authorization tools,2022-12-01,12.47233895340504
Build/CI/Installation,2022-12-01,8.4320383758742
CLI tooling,2022-12-01,28.95917502148171
Core,2022-12-01,30.34723886313365
Key Management Core / Secrets Backend,2022-12-01,14.142206520928342
Notification/Logging,2022-12-01,6.298652239233597
Policy/configuration,2022-12-01,21.885172664196993
Release pipeline,2022-12-01,2.840724477651041
Signing workflow,2022-12-01,10.299796550330274
Verification workflow,2022-12-01,10.320942075821096
Web Client,2022-12-01,8.834340948776653
API,2023-01-01,16.531033051657374
Authentication/Authorization tools,2023-01-01,12.169311141836925
Build/CI/Installation,2023-01-01,8.247504799829589
CLI tooling,2023-01-01,28.081287523746123
Core,2023-01-01,29.41618048990566
Key Management Core / Secrets Backend,2023-01-01,13.80539930943967
Notification/Logging,2023-01-01,6.160892070116992
Policy/configuration,2023-01-01,21.26096965555411
Release pipeline,2023-01-01,2.7870494019836247
Signing workflow,2023-01-01,10.042414913902352
Verification workflow,2023-01-01,9.97838977330778
Web Client,2023-01-01,8.692956643216105
API,2023-02-01,16.033261234422998
Authentication/Authorization tools,2023-02-01,11.873645690683071
Build/CI/Installation,2023-02-01,8.067009706435295
CLI tooling,2023-02-01,27.23001288560025
Core,2023-02-01,28.513687143574103
Key Management Core / Secrets Backend,2023-02-01,13.476613413262925
Notification/Logging,2023-02-01,6.0261449049692075
Policy/configuration,2023-02-01,20.654569997242383
Release pipeline,2023-02-01,2.7343885090609863
Signing workflow,2023-02-01,9.791464987697696
Verification workflow,2023-02-01,9.647206789515094
Web Client,2023-02-01,8.553835044288085
API,2023-03-01,15.550478001462729
Authentication/Authorization tools,2023-03-01,11.585163724114922
Build/CI/Installation,2023-03-01,7.890464714257083
CLI tooling,2023-03-01,26.40454434729712
Core,2023-03-01,27.63888244432752
Key Management Core / Secrets Backend,2023-03-01,13.155657798782618
Notification/Logging,2023-03-01,5.894344845258222
Policy/configuration,2023-03-01,20.06546590689196
Release pipeline,2023-03-01,2.682722636047732
Signing workflow,2023-03-01,9.546786049696776
Verification workflow,2023-03-01,9.327015776495813
Web Client,2023-03-01,8.41693993976038
API,2023-04-01,15.082232026183217
Authentication/Authorization tools,2023-04-01,11.303690712269102
Build/CI/Installation,2023-04-01,7.717783376071788
CLI tooling,2023-04-01,25.604099605735872
Core,2023-04-01,26.79091689983391
Key Management Core / Secrets Backend,2023-04-01,12.842345981991503
Notification/Logging,2023-04-01,5.765427433743347
Policy/configuration,2023-04-01,19.49316408496512
Release pipeline,2023-04-01,2.6320329821874524
Signing workflow,2023-04-01,9.308221394162931
Verification workflow,2023-04-01,9.017451910489664
Web Client,2023-04-01,8.282235696939342
API,2023-05-01,14.6280855720467
Authentication/Authorization tools,2023-05-01,11.029056365657915
Build/CI/Installation,2023-05-01,7.5488811365375
CLI tooling,2023-05-01,24.827920073066917
Core,2023-05-01,25.968967080328323
Key Management Core / Secrets Backend,2023-05-01,12.536495920138258
Notification/Logging,2023-05-01,5.639329622952217
Policy/configuration,2023-05-01,18.93718530168092
Release pipeline,2023-05-01,2.582301101961298
Signing workflow,2023-05-01,9.075618231279458
Verification workflow,2023-05-01,8.7181624762453
Web Client,2023-05-01,8.14968725339498
API,2023-06-01,14.18761408335607
Authentication/Authorization tools,2023-06-01,10.76109453214518
Build/CI/Installation,2023-06-01,7.383675290790083
CLI tooling,2023-06-01,24.075270157772177
Core,2023-06-01,25.172234819009013
Key Management Core / Secrets Backend,2023-06-01,12.237929905955648
Notification/Logging,2023-06-01,5.515989744347219
Policy/configuration,2023-06-01,18.397063995721336
Release pipeline,2023-06-01,2.5335088983758105
Signing workflow,2023-06-01,8.8488275892947
Verification workflow,2023-06-01,8.428806465138589
Web Client,2023-06-01,8.019260107834514
API,2023-07-01,13.76040578836182
Authentication/Authorization tools,2023-07-01,10.49964309642524
Build/CI/Installation,2023-07-01,7.222084943945809
CLI tooling,2023-07-01,23.345436567539156
Core,2023-07-01,24.399946436965436
Key Management Core / Secrets Backend,2023-07-01,11.946474464407745
Notification/Logging,2023-07-01,5.395347478166288
Policy/configuration,2023-07-01,17.872347884383018
Release pipeline,2023-07-01,2.485638616377593
Signing workflow,2023-07-01,8.627704219112385
Verification workflow,2023-07-01,8.14905418662939
Web Client,2023-07-01,7.890920311121934
API,2023-08-01,13.346061314320105
Authentication/Authorization tools,2023-08-01,10.244543881944113
Build/CI/Installation,2023-08-01,7.0640309714902925
CLI tooling,2023-08-01,22.637727633268103
